Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
C. Mafla,FB,2021-11-30,New England,New England II,28.0,Colombia,Colombia,left,428000.0,7.1,6.659193081653646,-0.4408069183463539,,,,,,,,,,,,,,
E. Munjoma,"FB,W",2022-12-31,North Texas,North Texas,23.0,United States,United States,right,428000.0,7.0,6.8220122997604,-0.17798770023960042,440000,,440000,,2020-01-13,2022-12-31,,Promoesport,Eddie Munjoma,United States,23,North Texas SC,Defender - Right-Back,https://www.transfermarkt.us/eddie-munjoma/profil/spieler/636468
C. Presley,"FB,W",,New England II,New England II,23.0,United States,United States,right,187250.0,6.71,6.759982510481034,0.049982510481034303,193000,,220000,,2020-01-07,2022-11-30,2020-11-30,YMU Group,Connor Presley,United States,23,New England Revolution II,midfield - Right Midfield,https://www.transfermarkt.us/connor-presley/profil/spieler/531470
J. Ricketts,FB,,Chattanooga Red Wolves,Chattanooga Red Wolves,24.0,United States,United States,,187250.0,7.12,6.840779345379727,-0.2792206546202731,193000,,193000,,2022-02-23,2022-11-30,,FSG USA,Jonathan Ricketts,United States,23 (24),Chattanooga Red Wolves SC,Defender - Right-Back,https://www.transfermarkt.us/jonathan-ricketts/profil/spieler/735328
S. Mueller,FB,2022-11-30,Tormenta,Tormenta,26.0,United States,United States,,160500.0,6.83,6.776526572939044,-0.053473427060955814,165000,,165000,,2022-03-08,2022-11-30,,Dierolf Rechtsanwälte AG,Stefan Mueller,United States,26,South Georgia Tormenta FC,Defender - Left-Back,https://www.transfermarkt.us/stefan-mueller/profil/spieler/505700
S. Guediri,"FB,W",,Inter Miami,Fort Lauderdale,24.0,United States,United States,,160500.0,6.7,6.655000922201984,-0.04499907779801582,,,,,,,,,,,,,,
D. Waldeck,"FB,CM",2021-11-30,North Texas,North Texas,23.0,United States,United States,,160500.0,6.88,6.841773215029591,-0.038226784970408545,,,,,,,,,,,,,,
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.821891454180181,-0.07810854581981896,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,21 (22),North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.821891454180181,-0.07810854581981896,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.821891454180181,-0.07810854581981896,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.821891454180181,-0.07810854581981896,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
