Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.932950861845718,0.03295086184571794,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,21 (22),North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.932950861845718,0.03295086184571794,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.932950861845718,0.03295086184571794,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
Kazu,"FB,AM,W",,Coritiba U23,North Texas,21.0,Brazil,"Brazil, Japan",left,160500.0,6.9,6.932950861845718,0.03295086184571794,165000,,165000,,2020-01-01,,2021-01-29,Under,Kazu,Brazil,22,North Texas SC,Defender - Left-Back,https://www.transfermarkt.us/kazu/profil/spieler/428993
R. Ruiz,"AM,W,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,,160500.0,7.25,6.9713770494056355,-0.2786229505943645,165000,,165000,,2022-02-23,2022-11-30,,FSG USA,Ricky Ruiz,United States,24 (25),Chattanooga Red Wolves SC,midfield - Right Midfield,https://www.transfermarkt.us/ricky-ruiz/profil/spieler/758827
S. Adams,"AM,W",,Tucson,Tucson,23.0,United States,United States,,160500.0,6.83,7.030534644387103,0.200534644387103,165000,,165000,,2022-01-20,2022-11-30,,,Shak Adams,United States,23,FC Tucson,attack - Left Winger,https://www.transfermarkt.us/shak-adams/profil/spieler/763520
J. Bolanos,"W,CF",,Richmond Kickers,Richmond Kickers,23.0,United States,United States,,160500.0,6.74,6.902675249224362,0.16267524922436216,165000,,165000,,2020-01-27,2022-11-30,2022-02-02,Ascension Athletes,Jonathan Bolanos,United States,23,Richmond Kickers,midfield - Attacking Midfield,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.053998015903503,0.2339980159035031,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.053998015903503,0.2339980159035031,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.053998015903503,0.2339980159035031,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.053998015903503,0.2339980159035031,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
M. Curry,"W,CF",,Hartford Athletic,Fort Lauderdale,22.0,England,England,,160500.0,6.91,6.967041282029378,0.05704128202937753,165000,,165000,,2022-01-27,2022-11-30,,Refuel Performance Management,Mitchell Curry,England,22,Fort Lauderdale CF,attack - Centre-Forward,https://www.transfermarkt.us/mitchell-curry/profil/spieler/399451
