Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
N. Pilato,"CM,AM",,Greenville Triumph,Greenville Triumph,25.0,United States,United States,right,133750.0,6.81,6.795198160086042,-0.014801839913957338,,,,,,,,,,,,,,
A. Morrell,"AM,W",,Greenville Triumph,Greenville Triumph,27.0,United States,United States,right,133750.0,6.81,6.850198359939787,0.04019835993978749,,,,,,,,,,,,,,
D. Bedoya,AM,,Tucson,Tucson,27.0,Colombia,Colombia,right,133750.0,6.91,7.022210817622867,0.11221081762286644,138000,,138000,,2021-03-02,2022-11-30,2022-02-22,DV7 Management,Daniel Bedoya,Colombia,27 (28),FC Tucson,midfield - Attacking Midfield,https://www.transfermarkt.us/daniel-bedoya/profil/spieler/369848
S. Miscic,"AM,W",,Philadelphia Union II,North Carolina FC,18.0,United States,United States,,133750.0,6.76,6.817390204996221,0.057390204996221605,138000,,138000,,2022-03-28,2022-12-31,,PROSPORT Management,Selmir Miscic,United States-Bosnia-Herzegovina,18 (19),North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/selmir-miscic/profil/spieler/628251
J. Donnelly,"AM,W,CF",,Greenville Triumph,Greenville Triumph,24.0,England,England,,133750.0,6.75,6.734619237410321,-0.015380762589678909,138000,,138000,,2021-12-01,,,HNG Talent ltd,Joshua Donnelly,England,24 (25),Greenville Triumph SC,attack - Centre-Forward,https://www.transfermarkt.us/joshua-donnelly/profil/spieler/635967
J. Coan,"AM,W",,North Carolina FC,North Carolina FC,23.0,United States,United States,,133750.0,6.74,6.912675250867275,0.17267525086727442,138000,,138000,,2022-02-17,2022-11-30,,Topnotch Management,Josh Coan,United States,23 (24),North Carolina FC,attack - Left Winger,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
M. Vang,"CM,AM,CF",,Columbus Crew II,Forward Madison,21.0,United States,United States,right,133750.0,6.62,6.897863983083629,0.2778639830836287,,,,,,,,,,,,,,
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,6.5,6.5316655105094545,0.03166551050945454,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,6.5,6.5316655105094545,0.03166551050945454,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,6.5,6.5316655105094545,0.03166551050945454,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,7.15,6.811027866762512,-0.33897213323748865,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,7.15,6.811027866762512,-0.33897213323748865,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,7.15,6.811027866762512,-0.33897213323748865,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
R. Ortiz,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,24.0,Mexico,"Mexico, United States",,107000.0,6.77,6.886823581326521,0.11682358132652126,110000,,110000,,2021-06-03,2022-11-30,2021-12-15,YMU Group,Rey Ortiz,United States-Mexico,24 (25),Chattanooga Red Wolves SC,midfield - Attacking Midfield,https://www.transfermarkt.us/rey-ortiz/profil/spieler/404319
P. Rothrock,"AM,W,CF",,Toronto II,Toronto II,22.0,United States,United States,,107000.0,6.86,6.786724160763706,-0.07327583923629444,110000,,110000,,2021-05-18,2022-11-30,,,Paul Rothrock,United States,22 (23),Toronto FC II,attack - Centre-Forward,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.951374783620396,0.08137478362039552,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica-United States,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.951374783620396,0.08137478362039552,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.951374783620396,0.08137478362039552,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,6.87,6.951374783620396,0.08137478362039552,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
J. Penn,"AM,W",,Inter Miami,Fort Lauderdale,21.0,United States,United States,left,107000.0,6.56,6.799088711145382,0.23908871114538233,138000,,138000,,2022-03-08,2022-11-30,,,Josh Penn,United States,20 (21),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/josh-penn/profil/spieler/615158
L. Pavone,"FB,AM,CF",,Richmond Kickers,Richmond Kickers,26.0,United States,United States,,107000.0,6.56,6.739346128810942,0.17934612881094214,,,,,,,,,,,,,,
A. Gavilanes,"AM,W",,Greenville Triumph,Greenville Triumph,22.0,United States,United States,,107000.0,6.81,6.995095191246962,0.18509519124696272,110000,,110000,,2021-04-20,2022-11-30,2021-12-15,,Allen Gavilanes,United States,22,Greenville Triumph SC,midfield - Left Midfield,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
C. Frame,"AM,W",,North Carolina FC,North Carolina FC,19.0,United States,United States,unknown,107000.0,6.55,6.802973914988405,0.25297391498840494,110000,,110000,,2021-09-07,2022-11-30,,,Cole Frame,United States,19,North Carolina FC,attack - Right Winger,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
M. Hernández,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,left,107000.0,7.01,7.03534647144651,0.025346471446510144,,,,,,,,,,,,,,
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.850427787690037,-0.18957221230996346,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,23 (24),FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.850427787690037,-0.18957221230996346,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,7.04,6.850427787690037,-0.18957221230996346,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
