,Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
2,R. Michael,"W,CF",,Tormenta,Tormenta,22.0,Sierra Leone,Sierra Leone,unknown,80250.0,136387.25349967246,56137.25349967246,83000.0,,83000.0,,2022-03-22,2022-11-30,,,Rodney Michael,Sierra Leone,22,South Georgia Tormenta FC,attack - Right Winger,https://www.transfermarkt.us/rodney-michael/profil/spieler/866504
3,T. Antonoglou,W,,Toronto II,Toronto II,20.0,Canada,Canada,,80250.0,132770.84661055572,52520.84661055572,83000.0,,83000.0,,2020-07-02,2022-11-30,2022-03-18,OPSMPRO,Themi Antonoglou,Canada-Greece,20,Toronto FC II,midfield - Left Midfield,https://www.transfermarkt.us/themi-antonoglou/profil/spieler/680394
4,M. Hernández,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,left,107000.0,155109.03836482222,48109.03836482222,,,,,,,,,,,,,,
0,J. Kamara,"CM,AM,CF",,Louisville City,North Carolina FC,19.0,Denmark,Denmark,,160500.0,1092790.2788349057,932290.2788349056,,,,,,,,,,,,,,
1,D. Smart,"W,CF",,Greenville Triumph,Greenville Triumph,34.0,Jamaica,Jamaica,,107000.0,1029087.6005130772,922087.6005130772,110000.0,,220000.0,,2020-12-14,2022-11-30,2021-12-15,ProConnect Soccer,Don Smart,Jamaica,33 (34),Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/don-smart/profil/spieler/190919
2,L. Pavone,"FB,AM,CF",,Richmond Kickers,Richmond Kickers,26.0,United States,United States,,107000.0,1028631.6999533746,921631.6999533746,,,,,,,,,,,,,,
3,Y. Subah,CF,,Real Monarchs,North Carolina FC,17.0,United States,United States,unknown,53500.0,725497.927021344,671997.927021344,,,,,,,,,,,,,,
4,F. Vargas,CF,,Deportivo Lara U20,North Texas,22.0,Venezuela,Venezuela,right,428000.0,960970.1311801124,532970.1311801123,440000.0,,440000.0,,2017-07-01,,,TSM833 & Club22,Freddy Vargas,Venezuela,22 (23),North Texas SC,attack - Left Winger,https://www.transfermarkt.us/freddy-vargas/profil/spieler/494437
0,J. Rice,GK,,New England II,New England II,25.0,United States,United States,,107000.0,138014.01131507382,31014.011315073814,,,,,,,,,,,,,,
1,A. Aviza,GK,,Richmond Kickers,Richmond Kickers,24.0,England,England,,53500.0,83604.8126942502,30104.8126942502,,,,,,,,,,,,,,
2,D. Callender,GK,,Inter Miami,Fort Lauderdale,24.0,United States,United States,,80250.0,104371.63954101458,24121.639541014574,,,,,,,,,,,,,,
3,S. Mora-Mora,GK,,Chattanooga Red Wolves,Chattanooga Red Wolves,23.0,United States,United States,,53500.0,67258.93257437008,13758.932574370076,,,,,,,,,,,,,,
4,P. Christensen,GK,2021-11-30,Greenville Triumph,Greenville Triumph,25.0,United States,United States,right,107000.0,118158.2811840937,11158.281184093708,,,,,,,,,,,,,,
