Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Rating,Wy_Rating_predict,Wy_Rating_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Bolanos,"W,CF",,Richmond Kickers,Richmond Kickers,23.0,United States,United States,,160500.0,6.74,7.0663382766921226,0.32633827669212234,165000,,165000,,2020-01-27,2022-11-30,2022-02-02,Ascension Athletes,Jonathan Bolanos,United States,23,Richmond Kickers,midfield - Attacking Midfield,https://www.transfermarkt.us/jonathan-bolanos/profil/spieler/637080
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.31934493091703686,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.31934493091703686,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.31934493091703686,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,20,North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
B. Kamungo,"AM,W,CF",2022-11-30,North Texas,North Texas,19.0,Tanzania,Tanzania,unknown,160500.0,6.82,7.139344930917037,0.31934493091703686,165000,,165000,,2021-03-25,2022-11-30,,D2PSports,Bernard Kamungo,Tanzania,19 (20),North Texas SC,attack - Right Winger,https://www.transfermarkt.us/bernard-kamungo/profil/spieler/876809
