Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Coan,"AM,W",,North Carolina FC,North Carolina FC,23.0,United States,United States,,133750.0,138875.5553524023,5125.555352402298,138000,,138000,,2022-02-17,2022-11-30,,Topnotch Management,Josh Coan,United States,23 (24),North Carolina FC,attack - Left Winger,https://www.transfermarkt.us/josh-coan/profil/spieler/763523
M. Vang,"CM,AM,CF",,Columbus Crew II,Forward Madison,21.0,United States,United States,right,133750.0,154371.86279420604,20621.86279420604,,,,,,,,,,,,,,
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,49406.16585912671,-57593.83414087329,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,49406.16585912671,-57593.83414087329,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
D. Texeira,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,30.0,Uruguay,Uruguay,right,107000.0,49406.16585912671,-57593.83414087329,110000,,3.30m,,2021-09-24,2022-11-30,2022-02-23,Fetama Sports Management,David Texeira,Uruguay,31,Chattanooga Red Wolves SC,attack - Centre-Forward,https://www.transfermarkt.us/david-texeira/profil/spieler/143182
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,107627.52094374968,627.5209437496815,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,107627.52094374968,627.5209437496815,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
B. Redzic,"AM,CF",2022-12-31,Dallas,North Texas,18.0,United States,United States,right,107000.0,107627.52094374968,627.5209437496815,110000,,110000,,2021-04-09,2022-12-31,,ICM Stellar Sports,Beni Redzic,Bosnia-Herzegovina,19,North Texas SC,attack - Left Winger,https://www.transfermarkt.us/beni-redzic/profil/spieler/674610
R. Ortiz,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,24.0,Mexico,"Mexico, United States",,107000.0,195285.86476653267,88285.86476653267,110000,,110000,,2021-06-03,2022-11-30,2021-12-15,YMU Group,Rey Ortiz,United States-Mexico,24 (25),Chattanooga Red Wolves SC,midfield - Attacking Midfield,https://www.transfermarkt.us/rey-ortiz/profil/spieler/404319
P. Rothrock,"AM,W,CF",,Toronto II,Toronto II,22.0,United States,United States,,107000.0,79234.72836662189,-27765.271633378114,110000,,110000,,2021-05-18,2022-11-30,,,Paul Rothrock,United States,22 (23),Toronto FC II,attack - Centre-Forward,https://www.transfermarkt.us/paul-rothrock/profil/spieler/503092
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,147954.05700603823,40954.05700603823,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica-United States,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,147954.05700603823,40954.05700603823,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,147954.05700603823,40954.05700603823,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
A. Booth,"CM,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,107000.0,147954.05700603823,40954.05700603823,110000,,110000,,2022-01-03,2022-11-30,,Remington Ellis Management,Andrew Booth,Jamaica,24,Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/andrew-booth/profil/spieler/509539
J. Penn,"AM,W",,Inter Miami,Fort Lauderdale,21.0,United States,United States,left,107000.0,142927.01788598948,35927.01788598948,138000,,138000,,2022-03-08,2022-11-30,,,Josh Penn,United States,20 (21),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/josh-penn/profil/spieler/615158
L. Pavone,"FB,AM,CF",,Richmond Kickers,Richmond Kickers,26.0,United States,United States,,107000.0,108467.17693354236,1467.1769335423596,,,,,,,,,,,,,,
A. Gavilanes,"AM,W",,Greenville Triumph,Greenville Triumph,22.0,United States,United States,,107000.0,130582.58362377899,23582.58362377899,110000,,110000,,2021-04-20,2022-11-30,2021-12-15,,Allen Gavilanes,United States,22,Greenville Triumph SC,midfield - Left Midfield,https://www.transfermarkt.us/allen-gavilanes/profil/spieler/886066
C. Frame,"AM,W",,North Carolina FC,North Carolina FC,19.0,United States,United States,unknown,107000.0,143722.75110100486,36722.75110100486,110000,,110000,,2021-09-07,2022-11-30,,,Cole Frame,United States,19,North Carolina FC,attack - Right Winger,https://www.transfermarkt.us/cole-frame/profil/spieler/876377
M. Hernández,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,left,107000.0,156568.24343254985,49568.24343254985,,,,,,,,,,,,,,
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,198773.38444468428,91773.38444468428,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,23 (24),FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,198773.38444468428,91773.38444468428,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,198773.38444468428,91773.38444468428,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
D. Corfe,"AM,W,CF",,Tucson,Tucson,23.0,England,England,right,107000.0,198773.38444468428,91773.38444468428,110000,,110000,,2021-04-13,2022-11-30,2021-12-02,,Deri Corfe,England,24,FC Tucson,midfield - Left Midfield,https://www.transfermarkt.us/deri-corfe/profil/spieler/735814
K. Rodríguez,"AM,W",,Tucson,Tucson,25.0,United States,United States,right,107000.0,95169.2868005831,-11830.713199416903,110000,,110000,,2021-02-10,2022-11-30,2021-12-02,,Kevin Rodríguez,United States,25,FC Tucson,midfield - Right Midfield,https://www.transfermarkt.us/kevin-rodriguez/profil/spieler/657902
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800153,118689.56968800153,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic-United States,17 (18),Fort Lauderdale CF,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800153,118689.56968800153,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800153,118689.56968800153,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
E. Azcona,"AM,W,CF",,Inter Miami,Fort Lauderdale,18.0,Dominican Republic,"Dominican Republic, United States",,107000.0,225689.56968800153,118689.56968800153,110000,,110000,,2021-01-26,2022-12-31,,,Edison Azcona,Dominican Republic,18,Inter Miami CF II,attack - Left Winger,https://www.transfermarkt.us/edison-azcona/profil/spieler/794699
S. Alves,"CM,AM,CF",2021-11-30,Richmond Kickers,Richmond Kickers,25.0,Brazil,"Brazil, United States",,80250.0,87046.50555762398,6796.505557623983,,,,,,,,,,,,,,
D. Steedman,"CM,AM",,,North Carolina FC,21.0,United States,United States,,80250.0,161510.01977219086,81260.01977219086,,,,,,,,,,,,,,
D. Dubose,"FB,AM,W",,Richmond Kickers,Richmond Kickers,29.0,United States,United States,right,80250.0,69289.43184305007,-10960.568156949928,,,,,,,,,,,,,,
A. Jackson,"AM,CF",2022-12-31,Minnesota United,North Carolina FC,20.0,United States,United States,,80250.0,157704.634943386,77454.63494338599,83000,,83000,,2022-03-23,2022-11-30,,,Aziel Jackson,United States,20,North Carolina FC,midfield - Attacking Midfield,https://www.transfermarkt.us/aziel-jackson/profil/spieler/889193
A. Bruce,"AM,CF",,North Texas,North Texas,23.0,England,England,right,80250.0,82741.86641299239,2491.8664129923854,83000,,138000,,2022-03-22,2022-11-30,,Beswicks Sports Ltd,Alex Bruce,England-United States,23,North Texas SC,attack - Centre-Forward,https://www.transfermarkt.us/alex-bruce/profil/spieler/561040
N. Fuson,"AM,W,CF",,Columbus Crew II,Forward Madison,22.0,United States,United States,,80250.0,139306.1925433479,59056.19254334789,83000,,83000,,2022-02-18,2022-11-30,,ICM Stellar Sports,Noah Fuson,United States,21 (22),Forward Madison FC,attack - Centre-Forward,https://www.transfermarkt.us/noah-fuson/profil/spieler/802208
Alejandro,"AM,W",,North Texas,North Texas,19.0,Brazil,Brazil,right,53500.0,99018.87119025466,45518.871190254664,,,,,,,,,,,,,,
R. Frame,"AM,W",,North Carolina U16/17,North Carolina FC,18.0,United States,United States,,0.0,82858.09428765437,82858.09428765437,,,,,,,,,,,,,,
C. Zaragoza,"AM,CF",,Chattanooga Red Wolves,Chattanooga Red Wolves,18.0,United States,United States,unknown,0.0,39023.19501558289,39023.19501558289,,,,,,,,,,,,,,
J. Dietrich,"AM,W",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Germany,"Germany, United States",,0.0,98632.19989327177,98632.19989327177,83000,,83000,,2021-12-01,,,ProConnect Soccer,Jackson Dietrich,Germany-United States,25,Chattanooga Red Wolves SC,midfield,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
J. Dietrich,"AM,W",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Germany,"Germany, United States",,0.0,98632.19989327177,98632.19989327177,83000,,83000,,2021-12-01,,,ProConnect Soccer,Jackson Dietrich,Germany,25,Chattanooga Red Wolves SC,midfield,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
J. Dietrich,"AM,W",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Germany,"Germany, United States",,0.0,98632.19989327177,98632.19989327177,83000,,83000,,2021-12-01,,,ProConnect Soccer,Jackson Dietrich,Germany,25,Chattanooga Red Wolves SC,midfield,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
J. Dietrich,"AM,W",,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,Germany,"Germany, United States",,0.0,98632.19989327177,98632.19989327177,83000,,83000,,2021-12-01,,,ProConnect Soccer,Jackson Dietrich,Germany,25,Chattanooga Red Wolves SC,midfield,https://www.transfermarkt.us/jackson-dietrich/profil/spieler/843820
D. Gallegos,AM,,VCU Rams,Richmond Kickers,18.0,United States,United States,,0.0,42645.954730867605,42645.954730867605,,,,,,,,,,,,,,
R. Thakur,"AM,W",,North Carolina FC,North Carolina FC,18.0,United States,United States,unknown,0.0,39023.19501558289,39023.19501558289,,,,,,,,,,,,,,
M. Mariche,AM,,North Carolina FC,North Carolina FC,17.0,United States,United States,unknown,0.0,39023.19501558289,39023.19501558289,,,,,,,,,,,,,,
D. Kerr,AM,,North Carolina FC,North Carolina FC,17.0,United States,United States,unknown,0.0,39558.19501558289,39558.19501558289,,,,,,,,,,,,,,
J. Goodall,"FB,AM,W",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,,0.0,102665.57032749821,102665.57032749821,,,,,,,,,,,,,,
H. Mbongue,"AM,CF",,Toronto II,Toronto II,17.0,Canada,Canada,,0.0,101337.45292486876,101337.45292486876,,,,,,,,,,,,,,
E. Bajraktarevic,"AM,W",,New England II,New England II,,United States,United States,,0.0,81023.81344791382,81023.81344791382,83000,,83000,,2021-11-18,2022-11-30,,,Esmir Bajraktarevic,United States-Bosnia-Herzegovina,16 (17),New England Revolution II,midfield - Attacking Midfield,https://www.transfermarkt.us/esmir-bajraktarevic/profil/spieler/925862
H. Avayevu,"AM,W",,North Texas,North Texas,19.0,Ghana,Ghana,unknown,0.0,127047.75335428466,127047.75335428466,,,,,,,,,,,,,,
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,102063.8465779977,102063.8465779977,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,102063.8465779977,102063.8465779977,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
M. Silva,"AM,W",,New England II,New England II,19.0,United States,"United States, Cape Verde Islands",,0.0,102063.8465779977,102063.8465779977,55000,,55000,,2020-01-21,2022-11-30,,,Meny Silva,Cape Verde,20,New England Revolution II,attack - Right Winger,https://www.transfermarkt.us/meny-silva/profil/spieler/738682
H. Fujiwara,"CM,AM",,New England II,New England II,18.0,Japan,Japan,,0.0,175881.27877984857,175881.27877984857,,,,,,,,,,,,,,
Carlos Gomez,"FB,AM",,Forward Madison,Forward Madison,27.0,Spain,Spain,,0.0,116984.67007774975,116984.67007774975,,,,,,,,,,,,,,
D. Hernandez,"AM,CF",,North Texas,North Texas,23.0,United States,United States,,0.0,167538.63879842882,167538.63879842882,,,,,,,,,,,,,,
J. Espana,"AM,W",,Chattanooga Red Wolves,Chattanooga Red Wolves,26.0,United States,United States,,0.0,154555.66320374273,154555.66320374273,,,,,,,,,,,,,,
J. Murphy,"AM,W",,Union Omaha,Union Omaha,21.0,United States,"United States, Republic of Ireland",right,0.0,96508.42197785845,96508.42197785845,,,,,,,,,,,,,,
N. Brown,"AM,W",,Greenville Triumph,Greenville Triumph,,United States,United States,,0.0,70213.72317668321,70213.72317668321,55000,,55000,,2021-09-01,2022-11-30,2021-12-15,Tavares Agency LLC,Nico Brown,Jamaica-United States,23,Greenville Triumph SC,attack - Left Winger,https://www.transfermarkt.us/nico-brown/profil/spieler/866253
F. Valencia,"AM,W",2025-12-31,Inter Miami,Fort Lauderdale,17.0,United States,United States,,0.0,59297.53844594729,59297.53844594729,,,,,,,,,,,,,,
B. Taghvai,"AM,W",,Inter Miami II,Fort Lauderdale,19.0,United States,United States,right,0.0,148099.99435773707,148099.99435773707,,,,,,,,,,,,,,
