Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
Alejandro,"AM,W",,North Texas,North Texas,19.0,Brazil,Brazil,right,53500.0,120331.65618248282,66831.65618248282,,,,,,,,,,,,,,
J. Ibarra,"W,CF",,Greenville Triumph,Greenville Triumph,24.0,United States,United States,right,80250.0,143550.44879380616,63300.448793806165,83000,,83000,,2021-04-20,2022-11-30,2022-01-19,,Jesus Ibarra,United States,23 (24),Greenville Triumph SC,attack - Left Winger,https://www.transfermarkt.us/jesus-ibarra/profil/spieler/650447
R. Michael,"W,CF",,Tormenta,Tormenta,22.0,Sierra Leone,Sierra Leone,unknown,80250.0,136387.25349967246,56137.25349967246,83000,,83000,,2022-03-22,2022-11-30,,,Rodney Michael,Sierra Leone,22,South Georgia Tormenta FC,attack - Right Winger,https://www.transfermarkt.us/rodney-michael/profil/spieler/866504
T. Antonoglou,W,,Toronto II,Toronto II,20.0,Canada,Canada,,80250.0,132770.84661055572,52520.846610555716,83000,,83000,,2020-07-02,2022-11-30,2022-03-18,OPSMPRO,Themi Antonoglou,Canada-Greece,20,Toronto FC II,midfield - Left Midfield,https://www.transfermarkt.us/themi-antonoglou/profil/spieler/680394
M. Hernández,"AM,W",2021-11-30,Chattanooga Red Wolves,Chattanooga Red Wolves,25.0,United States,United States,left,107000.0,155109.03836482222,48109.03836482222,,,,,,,,,,,,,,
