Player,Wy_Position,Wy_Contract expires,Wy_Team,Wy_Team within selected timeframe,Wy_Age,Wy_Birth country,Wy_Passport country,Wy_Foot,Wy_Market value,Wy_Market_value_predict,Wy_Market_value_diff,TM_Salary,TM_Salary Date,TM_Highest Market Value,TM_Date of Highest Value,TM_Joined Date,TM_Contract Until,TM_Date of Last Contract Extension,TM_Player Agent,TM_Player Name,TM_Nat.,TM_Age,TM_Club,TM_Position Detail,TM_player_href
J. Kamara,"CM,AM,CF",,Louisville City,North Carolina FC,19.0,Denmark,Denmark,,160500.0,1092790.2788349057,932290.2788349057,,,,,,,,,,,,,,
D. Smart,"W,CF",,Greenville Triumph,Greenville Triumph,34.0,Jamaica,Jamaica,,107000.0,1029087.6005130773,922087.6005130773,110000,,220000,,2020-12-14,2022-11-30,2021-12-15,ProConnect Soccer,Don Smart,Jamaica,33 (34),Greenville Triumph SC,midfield - Right Midfield,https://www.transfermarkt.us/don-smart/profil/spieler/190919
L. Pavone,"FB,AM,CF",,Richmond Kickers,Richmond Kickers,26.0,United States,United States,,107000.0,1028631.6999533746,921631.6999533746,,,,,,,,,,,,,,
Y. Subah,CF,,Real Monarchs,North Carolina FC,17.0,United States,United States,unknown,53500.0,725497.927021344,671997.927021344,,,,,,,,,,,,,,
F. Vargas,CF,,Deportivo Lara U20,North Texas,22.0,Venezuela,Venezuela,right,428000.0,960970.1311801123,532970.1311801123,440000,,440000,,2017-07-01,,,TSM833 & Club22,Freddy Vargas,Venezuela,22 (23),North Texas SC,attack - Left Winger,https://www.transfermarkt.us/freddy-vargas/profil/spieler/494437
