Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",FB,CB,CM,AM,W,CF,GK,Rating
L. Arriaga,North Carolina FC,North Carolina FC,"CM,AM",20.0,160500.0,,22,1685,1,2.33,2,1.41,10.84,50.25,United States,United States,right,168,52,no,5.72,4.81,65.56,1.6,40.0,0.48,0.66,0.21,2.08,2.84,0.32,3,0.16,0,0.0,0.69,0.05,1,0.05,0.12,0,0.0,14,0.75,42.86,7.143,0.11,0.43,25.0,0.11,100.0,0.32,0.0,0.16,0.37,57.14,2.72,41.18,1.18,0.59,0.27,22.49,0.8,0.85,31.35,85.86,8.07,68.87,6.89,96.12,10.42,90.26,27.83,90.21,3.15,54.24,17.59,32.93,0.08,0.59,0.0,0.0,0.27,20.0,0.27,3.58,68.66,1.23,52.17,0.75,28.57,0.59,0.11,3.9,68.49,0,,0,,0,0.0,0.0,0.0,,,0.27,,,0.11,0.0,0.0,0.05,0,0.0,,,CM,AM,,,,6.82
P. Jara,Tormenta,Tormenta,GK,27.0,160500.0,2023-11-30,28,2624,0,0.0,0,0.0,0.67,73.68,Chile,Chile,right,182,74,no,1.99,0.25,57.14,0.36,80.0,0.07,0.09,0.0,1.78,2.21,0.04,2,0.07,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39,0.14,0.04,21.42,82.26,12.61,72.11,0.0,0.0,8.38,97.03,12.22,98.55,9.13,60.31,35.71,50.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84,42.5,0.21,0.0,0.18,40.0,0.0,0.0,6.25,75.0,43,1.53,117,4.16,5,63.25,35.56,1.26,-7.44,-0.264,0.0,0.96,0.36,,,,0.0,0,0.0,,,,,,,GK,6.69
R. Sánchez,,North Texas,GK,27.0,160500.0,,19,1901,0,0.12,0,0.0,0.55,81.82,United States,"United States, Mexico",right,190,88,no,2.58,0.0,0.0,0.4,87.5,0.0,0.0,0.0,2.58,3.41,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.01,0,0.0,1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.05,0.0,0.0,12.77,0.1,0.05,20.92,88.6,9.59,77.2,0.0,0.0,10.39,98.09,16.1,97.53,4.82,58.76,27.34,46.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,48.15,0.05,0.0,0.0,0.0,0.0,0.0,3.88,66.67,22,1.09,67,3.33,3,67.16,19.47,0.97,-2.53,-0.126,0.0,2.04,0.4,,,,0.0,0,0.0,,,,,,,GK,6.84
E. Lee,Greenville Triumph,Greenville Triumph,CB,28.0,160500.0,,24,2157,0,0.53,0,0.23,13.98,61.79,United States,United States,right,193,84,no,8.68,6.38,73.86,3.5,54.76,0.13,0.15,0.46,3.84,4.69,0.79,2,0.08,0,0.0,0.46,0.0,0,0.0,0.02,0,0.0,9,0.38,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.67,62.5,1.79,55.81,0.46,1.0,0.29,25.12,0.38,0.71,38.26,88.55,16.44,78.93,1.79,95.35,16.52,96.97,34.46,92.25,3.76,55.56,20.36,38.55,0.01,0.21,0.04,0.0,0.13,33.33,0.08,4.84,65.52,0.42,30.0,0.33,25.0,0.13,0.0,6.55,75.8,0,,0,,0,0.0,0.0,0.0,,,0.92,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.9
Kazu,Coritiba U23,North Texas,"FB,AM,W",21.0,160500.0,,27,1733,6,5.71,2,1.32,15.21,40.43,Brazil,"Brazil, Japan",left,183,76,no,5.12,5.18,58.33,1.73,40.63,0.11,0.14,0.0,2.0,2.55,0.86,3,0.16,1,0.05,3.07,0.31,5,0.27,0.31,0,0.0,33,1.78,48.48,15.152,0.11,2.86,26.42,2.64,26.53,0.22,25.0,0.11,2.8,48.08,5.82,33.33,3.29,1.89,0.92,25.29,2.53,0.32,31.82,77.63,7.93,68.71,8.57,93.71,9.22,75.44,27.5,84.31,1.51,50.0,17.69,25.51,0.07,0.65,0.0,0.11,0.49,22.22,0.32,3.24,65.0,3.07,52.63,0.59,9.09,1.19,0.86,5.23,77.32,0,,0,,0,0.0,0.0,0.0,,,0.22,,,0.05,0.0,0.0,0.32,0,0.0,FB,,,AM,W,,,6.9
K. Elmedkhar,Dallas,North Texas,W,22.0,160500.0,2022-12-31,14,1149,4,2.34,5,3.5,20.68,48.48,United States,United States,,0,0,no,7.44,6.19,67.09,3.76,35.42,0.08,0.1,0.23,3.21,3.94,0.47,0,0.0,0,0.0,3.99,0.31,4,0.31,0.18,0,0.0,25,1.96,36.0,16.0,0.39,2.51,43.75,0.78,30.0,1.64,47.62,0.39,3.92,48.0,8.46,42.59,3.99,2.82,1.1,19.82,2.27,0.78,26.71,75.95,5.25,61.19,8.07,93.2,7.21,73.91,23.34,80.87,1.1,35.71,16.31,20.81,0.27,1.33,0.08,0.0,0.63,50.0,1.17,1.64,57.14,1.88,54.17,0.63,62.5,1.02,0.94,4.07,57.69,0,,0,,0,0.0,0.0,0.0,,,0.16,,,0.0,0.0,0.0,0.47,0,0.0,,,,,W,,,7.41
J. Crisler,Richmond Kickers,Richmond Kickers,CB,27.0,160500.0,,28,2630,0,0.79,0,0.31,15.26,59.64,United States,United States,,0,0,no,9.79,5.99,69.71,5.82,52.94,0.14,0.16,0.92,5.48,6.44,1.06,9,0.31,0,0.0,0.34,0.0,0,0.0,0.03,0,0.0,9,0.31,44.44,0.0,0.0,0.1,100.0,0.03,100.0,0.03,100.0,0.0,0.27,37.5,1.3,47.37,0.62,0.07,0.03,25.39,0.38,0.51,39.49,83.71,17.52,70.9,1.4,92.68,17.76,95.18,31.52,92.62,7.87,47.83,25.57,46.16,0.01,0.1,0.0,0.0,0.03,0.0,0.03,5.27,48.7,0.44,38.46,0.38,27.27,0.24,0.1,7.77,63.44,0,,0,,0,0.0,0.0,0.0,,,0.99,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.88
D. Barnathan,Tucson,Tucson,CB,23.0,160500.0,,26,1800,0,0.78,1,0.01,11.58,64.09,United States,United States,right,188,75,no,8.58,4.95,71.28,3.37,67.19,0.53,0.68,0.89,4.53,5.81,0.42,2,0.1,1,0.05,0.21,0.0,0,0.0,0.04,0,0.0,3,0.16,0.0,0.0,0.05,0.11,50.0,0.0,0.0,0.11,50.0,0.0,0.32,33.33,0.84,43.75,0.32,0.42,0.05,28.37,0.26,0.32,40.16,83.75,19.05,73.76,0.84,93.75,17.11,95.08,34.05,91.04,6.0,42.98,23.54,36.78,0.0,0.05,0.0,0.05,0.05,100.0,0.05,5.16,63.27,0.26,20.0,0.53,30.0,0.0,0.05,7.84,65.77,0,,0,,0,0.0,0.0,0.0,,,0.21,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,6.68
J. Carrera-Garcia,Chattanooga Red Wolves,Chattanooga Red Wolves,CM,26.0,160500.0,,29,2914,2,2.54,2,3.51,14.05,49.23,Mexico,"Mexico, United States",right,168,61,no,6.08,5.13,59.64,1.24,32.5,0.43,0.65,0.06,2.59,3.88,1.39,10,0.31,0,0.0,2.47,0.06,2,0.06,0.08,0,0.0,28,0.86,39.29,7.143,0.06,1.08,37.14,0.56,33.33,0.53,41.18,0.22,2.07,56.72,5.56,44.44,1.02,1.58,0.59,35.12,0.37,1.24,46.67,88.02,14.86,78.59,7.69,97.99,16.86,92.12,41.88,92.4,3.71,53.33,18.13,36.47,0.11,0.86,0.09,0.06,0.99,56.25,0.34,7.78,75.4,2.66,53.49,1.11,33.33,1.14,0.37,7.69,83.94,0,,0,,0,0.0,0.0,0.0,,,0.83,,,0.43,0.12,50.0,1.7,1,0.0,,,CM,,,,,6.98
R. Ruiz,Chattanooga Red Wolves,Chattanooga Red Wolves,"AM,W,CF",25.0,160500.0,,30,2958,4,2.67,8,6.42,17.13,49.73,United States,United States,,0,0,no,4.75,4.29,61.7,2.59,45.88,0.24,0.36,0.03,1.86,2.74,0.7,6,0.18,0,0.0,3.53,0.12,4,0.12,0.08,1,0.03,30,0.91,50.0,13.333,0.24,2.95,37.11,1.73,42.11,1.22,30.0,0.58,3.13,49.51,8.4,44.57,1.64,1.64,0.76,19.02,0.97,2.43,28.57,74.87,9.8,66.77,4.69,90.91,10.01,76.6,22.94,82.23,2.8,53.26,20.32,34.2,0.2,1.76,0.09,0.0,1.13,37.84,0.7,4.56,62.0,4.17,54.74,1.22,32.5,1.58,1.03,5.63,79.46,0,,0,,0,0.0,0.0,0.0,,,0.03,,,0.79,0.03,0.0,1.98,0,0.0,,,,AM,W,CF,,7.25
