Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",FB,CB,CM,AM,W,CF,GK,Rating
S. Adams,Tucson,Tucson,"AM,W",23.0,160500.0,,28,2009,7,3.27,2,3.38,14.55,40.63,United States,United States,,170,0,no,3.68,3.77,49.4,0.82,11.11,0.09,0.12,0.09,1.73,2.37,0.82,1,0.04,0,0.0,3.37,0.31,7,0.32,0.15,0,0.0,26,1.18,50.0,26.923,0.09,1.77,35.9,0.09,0.0,1.59,40.0,0.32,4.05,48.31,8.09,38.76,3.0,2.96,2.05,15.92,1.32,0.73,21.06,79.91,4.0,69.32,7.28,91.88,5.78,76.38,18.78,85.23,0.59,38.46,16.51,13.81,0.15,0.96,0.14,0.0,0.5,36.36,0.64,1.18,84.62,1.36,56.67,0.32,28.57,0.68,0.5,2.36,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,AM,W,,,6.83
R. Spaulding,New England II,New England II,FB,23.0,160500.0,,28,2525,3,2.91,1,1.84,21.35,58.93,United States,United States,,173,0,no,10.87,7.13,65.5,2.64,64.86,0.11,0.14,0.5,6.1,8.04,0.86,1,0.04,0,0.0,4.56,0.11,3,0.11,0.1,0,0.0,50,1.78,18.0,6.0,0.04,2.85,27.5,2.82,27.85,0.0,0.0,0.43,5.03,66.67,9.3,54.79,1.85,2.92,0.86,33.15,1.53,1.35,46.3,82.45,14.76,73.91,9.59,93.68,14.4,85.15,40.88,88.67,2.74,45.45,18.09,32.51,0.07,0.86,0.11,0.07,0.36,30.0,0.39,4.63,73.85,2.5,28.57,0.46,7.69,0.53,0.71,7.73,68.66,0,,0,,0,0.0,0.0,0.0,,,0.39,,,0.29,0.21,16.67,0.04,0,0.0,FB,,,,,,,7.07
J. Galindrez,Chattanooga Red Wolves,Chattanooga Red Wolves,CF,27.0,160500.0,,29,1483,11,10.17,1,0.3,25.55,29.45,Colombia,Colombia,,182,75,no,3.82,2.61,62.79,5.4,32.58,0.18,0.29,0.12,2.0,3.15,1.34,3,0.18,0,0.0,2.37,0.67,11,0.67,0.62,2,0.12,53,3.22,43.4,20.755,0.06,0.55,11.11,0.12,50.0,0.36,0.0,0.12,2.73,28.89,13.11,23.61,5.77,1.09,0.42,7.59,0.97,1.88,12.44,76.59,2.06,64.71,4.49,90.54,3.03,72.0,11.59,79.58,0.36,66.67,14.61,7.62,0.02,0.3,0.06,0.06,0.12,100.0,0.12,0.61,90.0,0.67,54.55,0.12,100.0,0.61,0.06,0.85,71.43,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,,,CF,,6.82
R. Mentzingen,Chattanooga Red Wolves,Chattanooga Red Wolves,"AM,W,CF",25.0,160500.0,,17,979,1,2.83,0,1.42,24.91,47.23,Brazil,Brazil,,0,0,no,4.96,4.32,57.45,4.04,47.73,0.55,0.82,0.0,1.93,2.88,1.01,3,0.28,0,0.0,5.52,0.09,1,0.09,0.26,1,0.09,21,1.93,47.62,4.762,0.0,2.48,37.04,0.74,37.5,1.75,36.84,0.37,5.98,55.38,13.42,49.32,3.49,2.85,2.02,11.68,1.75,2.67,17.47,69.47,4.87,54.72,4.04,97.73,4.6,74.0,14.25,78.06,1.01,18.18,20.03,11.22,0.13,1.01,0.0,0.0,0.92,40.0,0.46,1.2,61.54,1.93,57.14,0.92,30.0,0.74,0.83,1.84,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,AM,W,CF,,6.74
N. Firmino,Union Omaha,Union Omaha,"AM,W",20.0,160500.0,,25,861,2,1.6,0,0.14,26.45,37.94,Brazil,Brazil,,180,70,no,6.38,6.69,53.13,4.39,30.95,0.84,1.03,0.0,1.99,2.46,2.3,2,0.21,0,0.0,2.09,0.21,1,0.1,0.17,0,0.0,14,1.46,28.57,14.286,0.0,0.73,28.57,0.63,16.67,0.1,100.0,0.0,3.24,35.48,11.08,30.19,1.88,3.03,1.67,30.42,0.73,1.46,44.01,86.22,11.92,78.95,9.62,95.65,14.11,86.67,41.39,89.39,1.88,38.89,15.0,15.11,0.01,0.31,0.0,0.0,0.73,42.86,0.1,5.75,87.27,1.57,53.33,0.73,42.86,0.63,0.21,6.06,77.59,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.21,1,100.0,,,,AM,W,,,6.68
J. Bolanos,Richmond Kickers,Richmond Kickers,"W,CF",23.0,160500.0,,29,2206,5,5.99,2,3.39,21.26,44.15,United States,United States,,178,0,no,7.3,7.06,58.38,2.28,30.36,0.94,1.1,0.04,2.24,2.63,1.67,7,0.29,0,0.0,4.04,0.2,5,0.2,0.24,0,0.0,46,1.88,36.96,10.87,0.08,2.69,15.15,2.2,12.96,0.45,27.27,0.33,5.14,53.17,8.69,42.72,3.1,3.3,2.16,10.97,2.37,0.98,17.91,67.88,3.51,59.3,4.12,88.12,5.63,61.59,14.61,78.21,0.86,42.86,20.39,19.17,0.14,1.02,0.08,0.0,0.45,45.45,0.37,1.06,65.38,1.92,42.55,0.33,25.0,0.73,0.41,2.2,64.81,0,,0,,0,0.0,0.0,0.0,,,0.12,,,0.0,0.0,0.0,0.41,0,0.0,,,,,W,CF,,6.74
R. Nuhu,Union Omaha,Union Omaha,GK,25.0,160500.0,,26,2515,0,0.0,0,0.0,0.89,80.0,Ghana,"Ghana, United States",right,186,79,no,2.11,0.11,100.0,0.47,84.62,0.0,0.0,0.0,2.0,2.41,0.0,1,0.04,0,0.0,0.07,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,66.67,0.25,85.71,0.0,0.0,0.04,9.52,0.04,0.11,18.82,83.84,13.38,77.54,0.04,100.0,5.3,99.32,8.95,98.0,9.88,71.01,40.96,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,63.28,0.25,0.0,0.18,40.0,0.0,0.0,7.91,84.16,19,0.68,73,2.61,10,73.97,19.7,0.7,0.7,0.025,0.04,1.32,0.47,,,,0.0,0,0.0,,,,,,,GK,6.89
A. Mohamed,Greenville Triumph,Greenville Triumph,FB,25.0,160500.0,,26,2300,0,0.65,3,3.39,13.27,48.97,Kenya,"Kenya, Somalia",right,180,63,no,8.69,6.3,55.28,2.58,56.06,0.31,0.37,0.27,4.89,5.83,0.82,4,0.16,0,0.0,1.49,0.0,0,0.0,0.03,0,0.0,12,0.47,25.0,0.0,0.12,2.78,33.8,0.04,100.0,2.74,32.86,0.35,0.86,40.91,2.5,35.94,0.59,1.13,0.27,27.43,3.01,0.94,38.03,78.19,14.44,67.48,6.46,98.18,12.64,78.02,28.37,88.69,7.12,52.2,21.67,39.73,0.13,0.86,0.04,0.0,0.27,28.57,0.67,6.61,60.36,3.4,36.78,0.55,28.57,0.63,0.94,9.31,82.77,0,,0,,0,0.0,0.0,0.0,,,0.67,,,0.23,0.0,0.0,1.29,0,0.0,FB,,,,,,,6.97
L. McLean,Greenville Triumph,Greenville Triumph,"AM,CF",25.0,160500.0,,16,992,3,3.59,1,0.5,22.68,40.8,Australia,Australia,,183,0,no,3.36,3.36,62.16,8.26,36.26,0.0,0.0,0.0,1.27,1.56,0.91,1,0.09,0,0.0,2.54,0.27,3,0.27,0.33,1,0.09,24,2.18,50.0,12.5,0.09,1.63,0.0,0.73,0.0,0.91,0.0,0.36,2.36,46.15,7.98,36.36,2.81,1.18,0.64,10.8,2.36,2.09,13.88,65.36,3.54,48.72,2.99,96.97,5.35,59.32,11.79,73.85,0.54,66.67,18.24,15.84,0.04,0.18,0.0,0.0,0.73,50.0,0.09,2.45,48.15,1.36,33.33,0.82,55.56,0.64,0.09,2.0,63.64,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,AM,,CF,,6.91
B. Kamungo,North Texas,North Texas,"AM,W,CF",19.0,160500.0,2022-11-30,23,1303,6,3.22,0,1.76,26.79,43.96,Tanzania,Tanzania,unknown,0,0,no,5.89,6.77,53.26,2.06,21.43,0.22,0.31,0.07,2.06,2.86,1.32,0,0.0,0,0.0,5.08,0.41,6,0.44,0.24,0,0.0,25,1.84,48.0,24.0,0.0,1.1,40.0,0.59,12.5,0.52,71.43,0.15,6.48,53.41,13.61,42.16,3.9,3.75,1.91,12.07,1.32,1.62,16.7,77.09,2.8,60.53,3.68,88.0,6.03,74.39,14.87,80.2,0.74,70.0,14.33,13.09,0.13,1.03,0.07,0.0,0.66,44.44,0.66,1.25,70.59,2.06,57.14,0.66,44.44,1.32,0.37,2.35,71.88,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.37,0,0.0,,,,AM,W,CF,,6.82
K. Franklin,Toronto U17,Toronto II,FB,18.0,160500.0,,24,2312,2,0.96,6,4.71,16.74,45.81,Canada,Canada,right,168,62,no,9.97,6.97,51.96,1.05,40.74,0.74,0.92,0.35,5.61,6.96,0.7,3,0.12,1,0.04,3.62,0.08,2,0.08,0.04,0,0.0,15,0.58,66.67,13.333,0.23,2.3,49.15,0.12,66.67,2.14,49.09,0.27,3.97,49.02,6.97,43.58,0.7,1.71,0.82,30.29,0.97,1.21,40.56,79.37,16.0,66.18,4.63,94.96,14.87,88.48,31.84,88.26,6.54,46.43,22.51,40.2,0.18,1.28,0.04,0.0,0.39,40.0,0.51,8.06,66.67,3.15,49.38,0.97,32.0,0.43,1.32,10.2,70.99,0,,0,,0,0.0,0.0,0.0,,,0.31,,,0.86,0.08,50.0,1.75,0,0.0,FB,,,,,,,7.26
J. Kamara,Louisville City,North Carolina FC,"CM,AM,CF",19.0,160500.0,,21,1493,4,1.97,5,4.74,21.4,48.45,Denmark,Denmark,,0,0,no,4.1,4.52,62.67,0.42,0.0,0.12,0.16,0.0,1.15,1.55,1.15,5,0.3,0,0.0,7.11,0.24,4,0.24,0.12,0,0.0,32,1.93,53.13,12.5,0.3,1.09,27.78,0.36,33.33,0.66,27.27,0.18,8.2,54.41,13.74,47.37,1.63,3.5,1.99,19.53,1.09,1.57,28.09,72.96,9.71,57.14,4.22,92.86,9.95,80.0,23.33,78.81,3.74,50.0,20.93,38.28,0.29,1.75,0.0,0.0,2.95,44.9,1.15,6.57,65.14,3.74,40.32,3.13,34.62,2.05,0.3,6.21,82.52,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.42,0.3,100.0,0.84,0,0.0,,,CM,AM,,CF,,7.12
D. Knutson,Union Omaha,Union Omaha,CB,24.0,160500.0,2021-11-30,23,2114,1,2.32,1,0.66,9.41,57.47,United States,United States,,188,0,no,7.02,3.49,63.41,3.53,54.22,0.04,0.05,0.6,4.77,5.68,0.55,2,0.09,0,0.0,0.21,0.04,1,0.04,0.1,1,0.04,10,0.43,30.0,10.0,0.04,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.04,100.0,0.51,41.67,0.81,0.13,0.0,26.18,0.34,0.34,38.78,88.04,15.37,78.95,2.43,92.98,18.05,95.28,33.85,92.83,4.85,56.14,22.51,38.51,0.03,0.13,0.0,0.0,0.09,50.0,0.09,4.94,68.1,0.3,14.29,0.3,14.29,0.09,0.0,6.94,77.91,0,,0,,0,0.0,0.0,0.0,,,2.0,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,7.05
B. Ferri,North Texas,North Texas,CM,21.0,160500.0,2021-11-30,21,1660,0,0.9,4,2.29,18.13,50.63,United States,United States,left,175,77,no,8.55,6.04,60.38,1.94,47.06,0.85,1.07,0.28,4.05,5.07,0.97,2,0.11,0,0.0,2.56,0.0,0,0.0,0.05,0,0.0,12,0.68,33.33,0.0,0.23,1.03,44.44,0.28,20.0,0.63,54.55,0.17,2.74,60.42,7.24,49.61,0.91,1.88,0.91,30.38,0.17,1.14,45.14,86.62,13.45,75.85,7.12,95.2,17.78,90.71,39.73,90.39,4.39,62.34,18.51,36.34,0.13,0.97,0.11,0.06,0.74,30.77,0.51,7.47,74.81,2.74,52.08,1.2,23.81,1.2,0.4,7.35,85.27,0,,0,,0,0.0,0.0,0.0,,,0.4,,,1.14,0.23,50.0,2.79,0,0.0,,,CM,,,,,7.09
E. Calvo,Richmond Kickers,Richmond Kickers,FB,24.0,160500.0,,24,2178,0,0.01,0,0.0,16.36,55.05,Costa Rica,Costa Rica,,178,75,no,9.42,8.55,58.94,2.27,43.64,0.45,0.54,0.33,3.93,4.69,1.78,6,0.25,1,0.04,1.2,0.0,0,0.0,0.0,0,0.0,2,0.08,0.0,0.0,0.0,0.79,15.79,0.04,100.0,0.74,11.11,0.04,1.12,85.19,3.14,57.89,0.0,0.41,0.17,18.51,1.03,1.53,28.47,78.66,11.69,63.25,5.12,98.39,9.05,84.47,23.72,88.5,4.01,31.96,21.36,39.31,0.0,0.0,0.04,0.04,0.21,60.0,0.0,4.21,45.1,1.24,23.33,0.54,15.38,0.12,0.12,5.08,58.54,0,,0,,0,0.0,0.0,0.0,,,0.54,,,0.0,0.0,0.0,0.0,0,0.0,FB,,,,,,,6.67
N. Franke,Tucson,Tucson,FB,26.0,160500.0,,28,2644,0,0.22,3,2.38,17.69,53.59,United States,United States,right,173,70,no,8.53,7.22,55.61,0.95,62.96,0.28,0.37,0.18,4.23,5.57,1.48,3,0.1,2,0.07,3.45,0.0,0,0.0,0.01,0,0.0,10,0.35,30.0,0.0,0.11,1.94,43.64,0.04,0.0,1.83,42.31,0.25,3.95,60.71,7.4,53.81,0.78,2.08,1.62,27.45,1.9,2.01,39.19,84.71,16.77,78.57,4.4,92.8,11.56,87.8,34.39,90.37,2.96,42.86,18.0,34.97,0.08,0.53,0.04,0.04,0.21,50.0,0.28,5.11,73.79,2.33,43.94,0.28,12.5,0.67,0.92,7.79,80.54,0,,0,,0,0.0,0.0,0.0,,,0.46,,,0.0,0.0,0.0,0.04,0,0.0,FB,,,,,,,6.68
G. Calixtro,Tucson,Tucson,CF,21.0,160500.0,,28,1768,4,5.44,4,1.07,20.4,36.04,United States,United States,right,180,65,no,4.4,4.09,44.3,2.17,47.62,0.62,0.77,0.05,1.97,2.44,1.19,4,0.2,1,0.05,2.49,0.2,4,0.21,0.28,1,0.05,37,1.92,32.43,10.811,0.21,0.36,28.57,0.05,0.0,0.26,40.0,0.0,3.62,38.57,10.05,37.11,2.74,1.24,0.67,14.86,1.86,1.61,20.97,81.48,4.4,71.76,5.9,89.47,5.7,85.45,19.83,82.51,0.78,80.0,15.68,16.49,0.06,0.67,0.16,0.05,0.83,43.75,0.41,1.71,81.82,1.04,55.0,0.67,46.15,0.78,0.1,2.69,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,,,CF,,6.75
T. Polak,Greenville Triumph,Greenville Triumph,FB,29.0,160500.0,,30,2850,0,0.72,0,1.15,15.0,54.32,United States,United States,left,173,68,no,9.41,7.61,64.32,1.74,36.36,0.6,0.72,0.13,3.92,4.72,0.82,7,0.22,0,0.0,1.26,0.0,0,0.0,0.02,0,0.0,7,0.22,0.0,0.0,0.0,0.73,43.48,0.66,42.86,0.03,0.0,0.13,1.39,59.09,3.25,51.46,0.35,1.17,0.41,23.37,0.79,0.82,35.62,84.66,13.45,75.59,4.96,93.63,12.47,91.9,30.82,90.06,4.11,50.77,19.76,39.95,0.04,0.41,0.03,0.03,0.16,80.0,0.06,4.86,68.83,1.36,53.49,0.47,26.67,0.47,0.32,7.26,71.74,0,,0,,0,0.0,0.0,0.0,,,0.6,,,0.38,0.03,0.0,0.06,0,0.0,FB,,,,,,,6.78
A. Mabika,Inter Miami,Fort Lauderdale,CB,23.0,160500.0,,14,1368,0,0.91,0,0.0,16.05,66.8,United States,United States,,0,0,no,10.13,7.04,74.77,3.22,59.18,0.0,0.0,0.92,4.87,6.13,0.72,3,0.2,0,0.0,1.25,0.0,0,0.0,0.06,0,0.0,4,0.26,25.0,0.0,0.0,0.07,100.0,0.0,0.0,0.07,100.0,0.0,1.51,73.91,4.28,61.54,0.46,2.37,0.39,37.17,0.86,0.72,52.24,91.81,20.2,83.71,2.24,100.0,25.99,97.72,48.82,94.74,3.42,50.0,22.0,36.01,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.13,73.08,0.59,11.11,0.59,0.0,0.07,0.0,8.55,75.38,0,,0,,0,0.0,0.0,0.0,,,1.78,,,0.0,0.0,0.0,0.0,0,0.0,,CB,,,,,,7.01
C. Diaz,Forward Madison,Forward Madison,FB,30.0,160500.0,,19,1365,0,0.07,1,1.61,18.07,52.55,Mexico,Mexico,right,173,65,no,8.9,7.19,55.05,1.91,72.41,0.26,0.34,0.33,4.68,6.12,0.53,3,0.2,0,0.0,2.7,0.0,0,0.0,0.0,0,0.0,4,0.26,0.0,0.0,0.07,2.31,48.57,0.13,50.0,2.18,48.48,0.2,2.44,45.95,6.07,41.3,0.46,1.25,0.53,40.88,1.25,1.12,53.21,82.28,22.35,74.93,4.95,94.67,19.91,85.43,43.98,90.1,7.05,43.93,20.26,34.98,0.11,0.99,0.0,0.0,0.66,70.0,0.53,10.35,70.06,3.49,45.28,1.45,27.27,0.66,1.12,12.26,81.72,0,,0,,0,0.0,0.0,0.0,,,0.4,,,0.0,0.0,0.0,0.0,0,0.0,FB,,,,,,,6.96
J. Barriga Toyama,Monterey Bay FC,Forward Madison,FB,26.0,160500.0,,17,1584,0,0.22,0,1.15,22.39,55.33,Panama,"Panama, Japan",,175,0,no,8.52,8.18,63.89,1.08,42.11,0.57,0.71,0.0,2.73,3.4,2.05,7,0.4,0,0.0,3.75,0.0,0,0.0,0.01,0,0.0,9,0.51,33.33,0.0,0.0,3.13,27.27,3.07,25.93,0.06,100.0,0.28,4.2,60.81,9.38,50.91,0.8,2.95,1.36,30.45,1.42,2.16,42.44,80.46,16.36,71.18,5.74,96.04,13.47,85.23,36.82,88.12,2.78,34.69,19.07,35.12,0.07,0.91,0.0,0.0,0.51,33.33,0.28,5.34,60.64,3.41,35.0,0.57,20.0,0.57,0.91,7.78,74.45,0,,0,,0,0.0,0.0,0.0,,,0.28,,,0.0,0.0,0.0,0.0,0,0.0,FB,,,,,,,6.78
M. Curry,Hartford Athletic,Fort Lauderdale,"W,CF",22.0,160500.0,,23,1990,8,7.07,3,3.63,10.27,36.12,England,England,,170,75,no,1.49,1.9,54.76,1.04,8.7,0.0,0.0,0.05,0.45,0.55,0.63,1,0.05,0,0.0,2.94,0.36,8,0.36,0.32,1,0.05,43,1.94,51.16,18.605,0.14,1.09,29.17,0.45,20.0,0.63,35.71,0.18,2.67,59.32,5.79,40.63,3.44,1.54,1.22,9.54,1.94,0.63,12.08,74.53,2.08,67.39,3.08,91.18,4.79,71.7,10.63,79.57,0.36,62.5,17.18,9.79,0.16,0.81,0.0,0.0,0.32,14.29,0.54,0.59,76.92,1.22,37.04,0.36,25.0,0.59,0.27,1.81,72.5,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0,0.0,,,,,W,CF,,6.91
D. Castanheira,Atlanta United,Fort Lauderdale,GK,26.0,133750.0,,2,202,0,0.0,0,0.0,1.34,33.33,United States,United States,right,188,93,no,0.0,0.0,0.0,0.89,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,29.41,0.45,0.0,35.64,83.75,16.04,75.0,0.0,0.0,17.38,92.31,22.72,98.04,12.48,60.71,28.49,41.62,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.78,50.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,55.0,3,1.34,14,6.24,0,78.57,4.6,2.05,1.6,0.713,0.0,2.23,0.89,,,,0.0,0,0.0,,,,,,,GK,7.7
L. Petrasso,Toronto,Toronto II,FB,21.0,133750.0,2021-11-30,29,2660,1,1.3,3,4.0,12.71,49.59,Canada,Canada,left,180,73,no,6.34,4.06,58.62,1.54,52.27,0.18,0.22,0.04,3.78,4.75,0.63,5,0.17,0,0.0,4.17,0.03,1,0.04,0.05,0,0.0,20,0.7,50.0,5.0,0.11,4.17,36.97,4.06,37.93,0.11,0.0,0.56,3.68,54.29,5.43,46.45,1.96,2.91,1.4,36.53,2.52,0.42,47.45,81.92,15.44,75.06,9.63,96.0,16.21,81.43,39.68,89.85,3.82,46.79,19.76,37.44,0.14,1.3,0.04,0.04,0.42,66.67,0.42,4.83,76.81,3.68,41.9,0.46,46.15,0.67,1.54,9.63,76.73,0,,0,,0,0.0,0.0,0.0,,,0.25,,,0.74,0.18,20.0,1.26,0,0.0,FB,,,,,,,6.99
R. Kristo,North Carolina FC,North Carolina FC,CF,28.0,133750.0,2021-11-30,18,994,4,4.87,0,0.17,30.69,37.76,Croatia,"Croatia, United States",right,195,86,no,2.08,2.44,29.63,9.51,55.24,0.18,0.23,0.09,1.18,1.51,1.72,2,0.18,0,0.0,2.35,0.36,2,0.18,0.44,1,0.09,33,2.99,36.36,12.121,0.0,0.09,0.0,0.09,0.0,0.0,0.0,0.0,3.44,26.32,14.12,29.49,2.44,0.63,0.54,11.41,2.63,2.63,19.1,79.15,5.34,67.8,6.07,94.03,5.34,79.66,18.02,79.9,1.0,72.73,15.66,18.57,0.02,0.18,0.0,0.0,0.54,66.67,0.09,2.54,57.14,1.09,58.33,0.36,75.0,0.72,0.0,2.54,75.0,0,,0,,0,0.0,0.0,0.0,,,0.0,,,0.18,0.18,0.0,0.0,2,100.0,,,,,,CF,,6.91
N. Martinez,North Carolina FC,North Carolina FC,FB,20.0,133750.0,2021-11-30,27,2288,1,0.47,0,0.53,12.9,53.96,United States,United States,right,175,66,no,8.26,6.65,57.99,1.81,43.48,0.35,0.47,0.28,4.05,5.38,1.1,4,0.16,0,0.0,0.98,0.04,1,0.04,0.02,0,0.0,12,0.47,33.33,8.333,0.0,1.06,40.74,0.08,50.0,0.98,40.0,0.04,0.63,62.5,2.2,51.79,0.59,1.14,0.43,31.31,1.14,1.02,39.26,85.57,12.27,72.44,6.18,93.63,15.46,93.38,35.05,90.46,3.23,47.56,19.04,31.62,0.02,0.28,0.04,0.04,0.04,0.0,0.04,4.96,70.63,1.22,38.71,0.51,7.69,0.2,0.35,6.29,66.25,0,,0,,0,0.0,0.0,0.0,,,0.55,,,0.0,0.0,0.0,0.0,0,0.0,FB,,,,,,,6.76
S. Nus,,Tormenta,CB,24.0,133750.0,,24,2015,0,0.3,0,0.01,7.85,64.88,Spain,Spain,,0,0,no,6.73,3.65,66.67,2.57,67.27,0.09,0.12,0.61,4.21,5.22,0.61,3,0.13,0,0.0,0.09,0.0,0,0.0,0.01,0,0.0,4,0.19,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,50.0,0.14,0.98,0.0,32.54,0.42,0.23,44.09,89.71,17.3,79.19,2.99,98.44,20.57,97.5,37.96,95.07,6.12,56.49,22.44,36.35,0.0,0.09,0.05,0.0,0.14,0.0,0.0,6.26,66.42,0.47,20.0,0.61,61.54,0.09,0.0,8.46,79.56,0,,0,,0,0.0,0.0,0.0,,,2.01,,,0.19,0.19,50.0,0.0,0,0.0,,CB,,,,,,6.63
W. Lapsley,Tucson,Tucson,GK,24.0,133750.0,,30,2915,0,0.0,0,0.0,1.18,75.68,United States,United States,,0,0,no,1.15,0.22,42.86,0.7,90.91,0.0,0.0,0.0,1.05,1.36,0.03,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,7.87,0.1,0.16,14.18,82.7,7.2,72.57,0.03,0.0,6.31,93.43,9.3,94.52,4.87,60.13,29.84,43.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,31.03,0.06,0.0,0.06,0.0,0.0,0.0,3.7,65.52,46,1.47,144,4.59,5,68.06,44.02,1.4,-1.98,-0.063,0.0,1.78,0.7,,,,0.0,0,0.0,,,,,,,GK,6.77
L. Pecka,North Carolina FC,North Carolina FC,CM,32.0,133750.0,,19,1295,1,0.23,0,0.65,16.54,53.78,Brazil,Brazil,right,172,69,no,7.02,5.77,67.47,2.15,41.94,0.42,0.55,0.21,2.71,3.59,1.32,1,0.07,1,0.07,1.18,0.07,1,0.07,0.02,0,0.0,7,0.49,28.57,14.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,50.0,5.77,51.81,0.28,0.76,0.21,30.72,0.14,2.02,41.7,91.17,9.03,81.54,7.37,95.28,19.11,94.18,40.31,92.41,1.39,55.0,17.66,21.93,0.04,0.28,0.0,0.0,0.35,20.0,0.07,5.42,82.05,0.69,20.0,0.42,16.67,0.14,0.0,5.07,79.45,0,,0,,0,0.0,0.0,0.0,,,0.35,,,0.0,0.0,0.0,0.0,0,0.0,,,CM,,,,,6.68
