"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Elma N'For","OMA","2021","ST","485","146","74.0%","73.3%","0.96","0.66","16.42","-3.58","2.6%","15"
"","Ronaldo Lomeli","MAD","2021","FB","222","133","82.0%","81.2%","0.96","0.72","19.69","2.72","4.8%","5"
"","Malick Mbaye","NC","2021","CB","1848","1159","86.3%","86.2%","0.93","0.08","24.44","8.63","9.0%","24"
"","Nyal Higgins","TOR","2021","CB","576","314","84.4%","84.1%","0.93","0.29","24.23","10.10","6.7%","9"
"","Stefan Mueller","TRM","2021","FB","1464","572","76.4%","76.2%","0.92","0.16","19.63","0.78","6.4%","18"
"","Dylan Castanheira","FTL","2021","GK","205","117","83.8%","83.0%","0.91","0.78","30.25","20.10","12.2%","2"
"","Jacob Shaffelburg","TOR","2021","W","88","32","62.5%","59.8%","0.86","2.70","14.37","2.53","5.9%","1"
"","Matthew Corcoran","NTX","2021","FB","73","30","76.7%","73.9%","0.82","2.75","18.46","8.22","2.9%","2"
"","Charlie Dennis","TUC","2021","CM","1885","882","74.5%","74.4%","0.64","0.07","24.50","5.55","8.3%","24"
"","Carlos Avilez","TRM","2021","GK","168","64","82.8%","81.8%","0.63","0.99","33.73","25.12","5.2%","2"
"","Jesús Pérez","MAD","2021","CM","665","267","82.8%","82.5%","0.63","0.24","20.18","1.46","6.3%","10"
"","Chris Brady","MAD","2021","GK","103","27","96.3%","94.1%","0.60","2.24","23.67","12.32","4.2%","1"
"","Drew Kerr","NC","2021","CM","10","4","75.0%","61.5%","0.54","13.53","11.78","8.32","0.7%","1"
"","Marvin Mariche","NC","2021","W","21","5","80.0%","71.0%","0.45","9.04","13.00","-8.83","0.4%","3"
"","Kevin Rodríguez","TUC","2021","W","582","158","74.1%","73.8%","0.39","0.24","15.93","-1.26","2.6%","16"
"","Meny Silva","NER","2021","W","449","113","77.0%","76.7%","0.36","0.32","18.88","0.42","2.3%","15"
"","William Mejia","GVL","2021","W","44","11","72.7%","69.9%","0.31","2.83","23.51","15.23","0.8%","4"
"","Josiah Trimmingham","MAD","2021","ST","564","106","67.0%","66.8%","0.24","0.23","17.00","0.46","2.8%","11"
"","Ivan Magalhaes","RIC","2021","CB","2577","1218","79.1%","79.1%","0.21","0.02","25.58","11.68","11.8%","26"
"","Yekeson Subah","NC","2021","ST","25","6","50.0%","48.8%","0.07","1.23","12.11","-8.68","0.9%","2"
"","Cristian Zaragoza","CHA","2021","W","16","3","66.7%","64.5%","0.07","2.18","18.64","-17.77","0.4%","2"
"","Aaron Messer","NC","2021","CB","1","1","100.0%","95.0%","0.05","5.04","10.50","-10.35","0.2%","1"
"","Cole Dewhurst","NER","2021","ST","12","1","100.0%","99.1%","0.01","0.88","22.26","-5.98","0.4%","1"
"","Caden Tolentino","NC","2021","FB","1","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.0%","1"
"","Roman Torres","NTX","2021","ST","5","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.5%","1"
"","Luke Lawrence","TUC","2021","ST","4","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.2%","1"
"","Alec Marshall","CHA","2021","ST","7","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.0%","1"
"","Kwasi Poku","TOR","2021","ST","10","0","0.0%","0.0%","0.00","0.00","0.00","0.00","0.7%","1"
"","Devante Dubose","RIC","2021","FB","55","6","66.7%","67.6%","-0.06","-0.97","26.57","21.21","1.0%","3"
"","Austin Aviza","RIC","2021","GK","100","27","88.9%","89.3%","-0.12","-0.46","28.51","16.79","5.8%","1"
"","Blake Malone","OMA","2021","CB","769","264","83.0%","83.0%","-0.13","-0.05","25.19","8.85","4.4%","13"
"","Morris Matthews","NER","2021","CM","18","2","50.0%","57.0%","-0.14","-7.04","8.05","-5.87","0.9%","1"
"","Patrick Cayelli","GVL","2021","FB","5","1","0.0%","15.7%","-0.16","-15.73","0.00","0.00","0.2%","1"
"","Curtis De Leon","NC","2021","CB","7","1","0.0%","18.6%","-0.19","-18.60","0.00","0.00","0.4%","1"
"","Javier Casas","MAD","2021","CM","64","22","81.8%","82.8%","-0.21","-0.95","20.19","0.05","3.9%","1"
"","Rickson van Hees","NTX","2021","ST","10","8","62.5%","65.5%","-0.24","-2.99","29.34","20.73","1.6%","1"
"","Christian Molina","OMA","2021","W","232","75","76.0%","76.3%","-0.25","-0.34","15.21","-0.36","1.8%","9"
"","Rohit Thakur","NC","2021","W","18","5","80.0%","85.7%","-0.28","-5.66","14.06","9.39","0.9%","2"
"","Alex Monis","MAD","2021","W","26","6","66.7%","71.9%","-0.32","-5.26","18.15","2.74","1.9%","1"
"","Ale Santana","NTX","2021","CM","281","90","80.0%","80.4%","-0.35","-0.39","15.63","0.64","3.5%","6"
"","Grant Hampton","TRM","2021","DM","11","7","71.4%","77.0%","-0.39","-5.53","13.17","-2.55","1.4%","1"
"","Francisco Raggio","FTL","2021","CM","50","18","66.7%","68.9%","-0.40","-2.25","20.44","4.20","1.2%","4"
"","Dennis Ramirez","NER","2021","CM","114","71","88.7%","89.3%","-0.42","-0.60","19.66","1.57","1.7%","8"
"","Brian Rosales","FTL","2021","FB","1212","715","83.8%","83.8%","-0.46","-0.06","21.86","2.85","8.8%","16"
"","Nakye Greenidge-Duncan","TOR","2021","ST","8","1","0.0%","46.7%","-0.47","-46.74","0.00","0.00","0.4%","1"
