"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Dakota Barnathan","TUC","2021","CB","1702","808","78.7%","80.5%","-14.66","-1.81","25.14","12.41","7.2%","23"
"","Alex Morrell","GVL","2021","W","1391","458","67.5%","70.7%","-14.75","-3.22","17.67","0.09","5.9%","21"
"","Rohan Goulbourne","TOR","2021","W","1362","563","76.4%","79.0%","-14.78","-2.63","22.33","4.50","5.6%","22"
"","Jonathan Bolanos","RIC","2021","W","2150","459","65.6%","68.8%","-14.85","-3.23","17.45","-0.98","5.9%","28"
"","Matthew Bolduc","RIC","2021","W","2070","561","70.4%","73.2%","-15.50","-2.76","18.15","2.80","5.8%","28"
"","Peter Pearson","NC","2021","DM","1706","816","84.6%","86.5%","-15.56","-1.91","21.10","3.62","7.1%","24"
"","Joao Delgado","TUC","2021","CM","1383","658","75.5%","78.1%","-16.63","-2.53","22.24","6.80","6.8%","22"
"","Andrew Booth","GVL","2021","CM","2142","788","74.5%","76.6%","-16.73","-2.12","21.47","3.98","7.3%","27"
"","Joshua Coan","NC","2021","W","1777","598","68.1%","70.9%","-17.22","-2.88","22.16","4.69","4.8%","28"
"","Romeo Beckham","FTL","2021","W","408","114","50.0%","65.2%","-17.34","-15.21","21.52","4.07","4.4%","6"
"","Tobias Otieno","OMA","2021","CM","1634","802","77.1%","79.3%","-17.57","-2.19","20.96","5.23","8.3%","23"
"","Edison Azcona","FTL","2021","W","882","372","76.9%","81.7%","-18.00","-4.84","19.45","1.83","7.5%","12"
"","Dominick Hernandez","NTX","2021","ST","1689","619","70.3%","73.3%","-18.54","-2.99","19.50","5.18","7.2%","21"
"","Parker O'Ferral","NC","2021","FB","530","275","74.2%","80.9%","-18.58","-6.76","20.57","2.48","7.3%","8"
"","Jay Tee Kamara","NC","2021","CM","1515","490","68.6%","72.5%","-19.10","-3.90","22.37","7.39","6.0%","21"
"","Greg Hurst","OMA","2021","ST","2375","373","70.0%","75.2%","-19.61","-5.26","17.38","-0.33","4.3%","28"
"","Shaan Hundal","FTL","2021","ST","2029","341","71.3%","77.0%","-19.63","-5.76","15.14","-1.03","3.8%","27"
"","Braxton Taghvai-Najib","FTL","2021","CM","1009","364","76.1%","81.5%","-19.71","-5.42","19.52","1.91","3.7%","21"
"","Chris Cole","RIC","2021","FB","1414","571","65.1%","68.7%","-19.98","-3.50","22.60","8.72","8.2%","18"
"","Marco Micaletto","TRM","2021","W","2702","935","73.8%","76.0%","-20.20","-2.16","21.38","4.01","8.4%","28"
"","Tyler Allen","MAD","2021","FB","1582","611","73.8%","77.4%","-22.05","-3.61","17.51","-1.03","5.6%","25"
"","Emiliano Terzaghi","RIC","2021","ST","2498","435","68.3%","75.0%","-29.08","-6.69","18.54","3.94","5.9%","27"
"","Luca Mayr-Fälten","TRM","2021","FB","2381","1254","67.0%","71.0%","-50.96","-4.06","23.07","3.28","10.3%","26"
