"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Esmir Bajraktarevic","NER","2021","W","509","0.04","-0.03","-0.08","-0.11","-0.29","-0.05","-0.52"
"","Luca Petrasso","TOR","2021","FB","2611","0.43","0.08","-0.74","-0.35","0.11","-0.06","-0.52"
"","Edward Kizza","NER","2021","ST","1075","-0.47","-0.21","-0.05","-0.60","0.61","0.19","-0.53"
"","Mohamed Kone","TUC","2021","DM","1101","-0.04","0.00","-0.08","-0.21","-0.10","-0.11","-0.54"
"","Noah Franke","TUC","2021","FB","2424","0.34","-0.25","-0.47","0.37","-0.29","-0.26","-0.55"
"","Angel Espana","CHA","2021","W","1218","-0.34","-0.19","-0.14","0.15","-0.10","0.07","-0.56"
"","Raheem Sommersall","TRM","2021","CM","1254","0.16","0.01","0.01","-0.46","-0.20","-0.10","-0.57"
"","Don Smart","GVL","2021","W","1289","-0.31","-0.10","-0.21","-0.17","0.32","-0.11","-0.59"
"","Alex Morrell","GVL","2021","W","1391","-0.32","-0.06","-0.05","0.00","-0.19","0.02","-0.60"
"","Ethan Bryant","RIC","2021","CM","952","-0.15","-0.08","-0.07","0.11","-0.33","-0.09","-0.62"
"","Peter Pearson","NC","2021","DM","1706","-0.21","-0.14","0.35","-0.18","-0.23","-0.21","-0.63"
"","Jorge Luna","CHA","2021","CB","608","0.03","0.03","-0.64","-0.08","0.02","0.01","-0.63"
"","Luke Pavone","RIC","2021","FB","855","-0.06","-0.02","0.15","0.01","-0.47","-0.24","-0.63"
"","Nelson Blanco","NC","2021","FB","2482","0.23","0.06","-0.02","-0.12","-0.48","-0.31","-0.63"
"","Malyk Hamilton","NC","2021","FB","416","-0.14","-0.28","0.02","-0.11","-0.07","-0.08","-0.65"
"","Dakota Barnathan","TUC","2021","CB","1702","-0.24","0.08","-0.03","-0.20","-0.22","-0.04","-0.66"
"","Eric Leonard","MAD","2021","CB","1874","0.05","-0.42","-0.28","0.28","-0.27","-0.02","-0.67"
"","Connor Presley","NER","2021","FB","1400","-0.44","0.02","-0.22","-0.42","0.12","0.27","-0.67"
"","Devin Boyce","OMA","2021","W","2192","-0.11","-0.22","-0.01","0.89","-1.00","-0.23","-0.68"
"","Ferrety Sousa","OMA","2021","FB","2399","-0.30","-0.26","-0.14","0.51","-0.37","-0.14","-0.71"
"","Romeo Beckham","FTL","2021","W","408","-0.23","-0.11","0.06","-0.04","-0.25","-0.15","-0.72"
"","Jake Crull","OMA","2021","CB","1731","-0.11","0.12","-0.25","0.12","-0.43","-0.19","-0.74"
"","Jorge Almaguer","NTX","2021","CM","1993","-0.31","-0.02","-0.42","-0.09","-0.03","0.11","-0.76"
"","Nicholas O'Callaghan","TRM","2021","FB","2001","0.06","-0.01","-1.02","0.09","0.15","-0.10","-0.82"
"","Stefan Mueller","TRM","2021","FB","1464","-0.28","0.07","-0.59","-0.68","0.49","0.15","-0.84"
"","Enric Bernat","TOR","2021","CM","574","-0.07","-0.03","-0.38","-0.02","-0.20","-0.14","-0.84"
"","Christian Enriquez","MAD","2021","CM","1129","-0.15","-0.02","0.10","-0.61","-0.09","-0.06","-0.84"
"","Collin Smith","NTX","2021","FB","1763","0.40","0.02","-0.72","0.10","-0.49","-0.16","-0.84"
"","Thorn Simpson","NC","2021","ST","958","-1.15","-0.13","-0.07","-0.48","0.95","0.03","-0.85"
"","Noah Allen","FTL","2021","FB","2660","-0.69","0.09","0.44","-0.23","-0.30","-0.17","-0.88"
"","Malick Mbaye","NC","2021","CB","1848","-0.03","-0.09","0.11","-0.31","-0.40","-0.17","-0.90"
"","Nathan Aune","RIC","2021","CB","551","-0.56","0.03","-0.24","-0.21","0.09","-0.00","-0.90"
"","Jake Keegan","MAD","2021","ST","2125","0.26","-0.29","-0.46","-0.28","-0.46","0.30","-0.92"
"","Nicolas Firmino","OMA","2021","CM","864","-0.22","-0.08","-0.04","-0.25","-0.28","-0.06","-0.93"
"","José Carrera-Garcia","CHA","2021","CM","2684","-0.25","-0.12","-0.52","0.55","-0.48","-0.11","-0.94"
"","Jonathan Esparza","CHA","2021","FB","1792","-0.12","0.04","-1.15","0.52","-0.17","-0.12","-1.00"
"","Antonio Carlini","TOR","2021","CM","2027","-0.36","0.06","-0.29","-0.00","-0.34","-0.08","-1.03"
"","Sergi Nus","TRM","2021","CB","1955","-0.07","0.17","-0.42","-0.36","-0.27","-0.13","-1.08"
"","Justin Sukow","MAD","2021","CM","1458","-0.62","-0.07","-0.28","-0.77","0.78","-0.12","-1.08"
"","Esteban Calvo","RIC","2021","FB","2106","-0.09","-0.19","0.23","-0.35","-0.45","-0.30","-1.14"
"","Matthew Bolduc","RIC","2021","W","2070","-0.17","-0.13","0.11","0.08","-0.65","-0.40","-1.16"
"","Sebastian Capozucchi","CHA","2021","CB","1159","-0.02","-0.22","-0.62","0.04","-0.22","-0.14","-1.17"
"","Venton Evans","FTL","2021","W","1569","-0.63","-0.42","0.19","-0.40","0.04","0.01","-1.22"
"","Conor Doyle","OMA","2021","W","2554","-0.55","-0.17","0.04","1.12","-1.03","-0.65","-1.24"
"","Joshua Coan","NC","2021","W","1777","-0.96","-0.12","-0.13","0.42","-0.37","-0.09","-1.26"
"","Kaelon Fox","TUC","2021","CB","2327","-0.12","-0.31","-0.02","-0.23","-0.42","-0.22","-1.32"
"","Harvey Neville","FTL","2021","CM","1994","-0.16","0.03","-0.67","0.08","-0.41","-0.25","-1.38"
"","Curtis Thorn","TRM","2021","CB","2589","-0.25","-0.08","-0.36","-0.63","-0.01","-0.06","-1.40"
"","Nelson Martinez","NC","2021","FB","2321","-0.16","-0.18","-0.03","-0.62","-0.27","-0.14","-1.41"
"","Tyler Allen","MAD","2021","FB","1582","-0.27","0.01","-0.21","-0.82","-0.01","-0.11","-1.42"
"","Ryan Sierakowski","MAD, NER","2021","ST","2031","-0.47","-0.28","-0.18","-0.41","-0.06","-0.06","-1.45"
"","Noah Fuson","MAD","2021","W","911","-0.18","-0.32","-0.36","-0.49","-0.13","-0.01","-1.49"
"","Joshua Phelps","TRM","2021","CB","1630","-0.39","-0.35","-0.32","0.12","-0.35","-0.26","-1.54"
"","Abuchi Obinwa","TRM","2021","CM","1654","-0.28","-0.18","-0.29","-0.28","-0.62","-0.24","-1.90"
