"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Gibran Rayo","NTX","2021","W","2098","1.08","0.23","-0.29","-0.86","0.03","0.30","0.49"
"","Selmir Miscic","NC","2021","W","1548","0.03","0.42","-0.29","-0.38","0.57","0.13","0.49"
"","Daltyn Knutson","OMA","2021","CB","1953","0.01","0.11","0.38","-0.20","0.03","0.13","0.46"
"","Nyal Higgins","TOR","2021","CB","576","0.36","0.04","0.08","0.07","-0.09","-0.00","0.46"
"","Rafael Mentzingen","CHA","2021","ST","784","-0.30","-0.02","-0.18","-0.06","0.93","0.06","0.42"
"","Samuel Biek","TUC","2021","CB","413","0.01","-0.07","0.15","0.21","0.06","0.05","0.42"
"","Derek Waldeck","NTX","2021","FB","2245","-0.15","0.12","-0.07","0.58","-0.04","-0.03","0.41"
"","Robert Kristo","NC","2021","ST","1010","-0.15","-0.09","-0.02","0.43","0.21","0.01","0.39"
"","Jackson Dietrich","CHA","2021","W","768","-0.18","0.07","-0.19","-0.17","0.57","0.29","0.39"
"","Hugo Mbongue","TOR","2021","ST","148","0.10","-0.03","-0.02","0.17","0.23","-0.07","0.38"
"","Kosi Thompson","TOR","2021","W","1684","0.26","-0.25","0.23","0.23","-0.01","-0.11","0.35"
"","Brian Rosales","FTL","2021","FB","1212","0.14","0.01","0.75","-0.10","-0.25","-0.21","0.33"
"","Adrian Billhardt","TRM","2021","W","225","0.02","-0.02","0.07","-0.00","0.16","0.10","0.32"
"","Freddy Vargas","NTX","2021","ST","328","0.20","0.02","0.02","0.39","-0.20","-0.11","0.32"
"","Gustavo Fernandes","MAD","2021","CB","1394","0.22","0.09","-0.23","0.41","-0.10","-0.08","0.31"
"","Modesto Mendez","FTL","2021","CB","1730","-0.12","-0.12","0.22","0.19","0.07","0.08","0.31"
"","John Murphy","OMA","2021","CM","149","0.01","0.30","-0.01","-0.08","0.06","0.01","0.29"
"","Hope Avayevu","NTX","2021","W","471","0.13","0.05","0.02","-0.20","0.30","-0.03","0.27"
"","Frank Nodarse","FTL","2021","CB","313","-0.02","0.01","0.22","0.06","0.05","-0.06","0.27"
"","Greg Hurst","OMA","2021","ST","2375","-0.42","0.13","0.01","-0.51","0.75","0.30","0.26"
"","Kevin Rodríguez","TUC","2021","W","582","0.21","0.23","-0.05","-0.31","0.14","0.04","0.26"
"","Ale Santana","NTX","2021","CM","281","-0.18","-0.01","-0.08","0.08","0.43","0.01","0.25"
"","Edwin Munjoma","NTX","2021","FB","788","-0.00","-0.00","0.12","-0.21","0.24","0.09","0.24"
"","Yekeson Subah","NC","2021","ST","25","-0.02","0.01","-0.01","-0.01","0.24","0.00","0.21"
"","Meny Silva","NER","2021","W","449","-0.03","0.09","0.00","0.00","0.06","0.09","0.21"
"","Daniel Steedman","NC","2021","CM","506","-0.01","0.04","0.28","-0.08","0.05","-0.07","0.21"
"","Matthew Corcoran","NTX","2021","FB","73","-0.02","-0.02","0.18","-0.01","0.05","0.01","0.20"
"","Alioune Diakhate","TUC","2021","W","71","0.34","-0.01","0.03","-0.15","-0.03","0.01","0.19"
"","Rey Ortiz","CHA","2021","W","847","-0.35","0.29","-0.18","0.42","-0.16","0.17","0.19"
"","Maxwell Hemmings","GVL","2021","CM","2183","-0.07","0.21","0.07","0.35","-0.15","-0.22","0.19"
"","Luke Singh","TOR","2021","CB","652","0.19","0.08","-0.36","0.32","-0.11","0.06","0.17"
"","Jesús Pérez","MAD","2021","CM","665","-0.15","-0.01","0.25","0.09","-0.04","0.02","0.17"
"","Jon-Talen Maples","TOR","2021","CB","1592","-0.04","0.01","-0.01","0.12","0.10","-0.02","0.17"
"","Justin Rennicks","NER","2021","ST","2290","-0.50","-0.34","-0.20","-0.22","1.50","-0.08","0.16"
"","Kwasi Poku","TOR","2021","ST","10","-0.03","0.00","-0.00","0.00","0.15","0.02","0.15"
"","Ricardo Rivera","OMA","2021","ST","247","-0.17","-0.01","-0.11","-0.02","0.39","0.06","0.14"
"","Roman Torres","NTX","2021","ST","5","0.00","-0.00","-0.00","0.00","0.11","0.03","0.14"
"","Ronaldo Lomeli","MAD","2021","FB","222","0.06","0.02","0.01","0.03","-0.04","0.05","0.14"
"","Rio Ramirez","NTX","2021","CB","905","-0.02","0.06","0.19","0.04","-0.08","-0.07","0.13"
