,Team,Player,Goal,SuccessfulDribbles,Tackles,Assists,AccuratePassesPercentages,Rating
0,North Texas SC,Edwin Cerrillo,0,1,4,2,90.16,7.9
1,Forward Madison FC,Chris Brady,0,0,0,0,95.45,7.7
2,Fort Lauderdale,Dylan Castanheira,0,0,0,0,82.88,7.7
3,Toronto FC II,Jayden Nelson,4,31,9,1,87.12,7.49
4,Forward Madison FC,Aaron Molloy,4,25,72,3,86.18,7.47
5,North Texas SC,Nkosi Burgess,1,0,1,0,85.11,7.45
6,North Carolina FC,Nicholas Holliday,0,0,0,0,64.6,7.42
7,North Texas SC,Kalil ElMedkhar,4,14,28,5,74.55,7.41
8,Union Omaha SC,Dámia Viader,7,46,65,6,74.25,7.37
9,Union Omaha SC,Evan Conway,13,19,23,1,62.54,7.29
10,South Georgia Tormenta FC,Marco Micaletto,11,23,39,3,75.7,7.29
11,Toronto FC II,Kobe Franklin,2,39,42,6,77.98,7.26
12,Chattanooga Red Wolves SC,Ricky Ruiz,4,15,38,10,74.27,7.25
13,New England Revolution II,Luis Caicedo,0,3,7,0,90.18,7.25
14,FC Tucson,Charlie Dennis,10,19,36,8,77.89,7.23
15,South Georgia Tormenta FC,Luca David Mayr Falten,5,21,36,6,71.75,7.2
16,Fort Lauderdale,George Acosta,4,24,19,7,84.11,7.18
17,New England Revolution II,Pierre Cayet,2,10,33,0,83.96,7.17
18,Union Omaha SC,John Scearce,1,15,74,4,74.76,7.16
19,Richmond Kickers,Emiliano Terzaghi,18,18,27,2,70.55,7.16
20,North Texas SC,Benjamin Redzic,0,5,4,0,81.82,7.15
21,Richmond Kickers,Ivan Magalhaes,1,10,34,1,79.27,7.13
22,Union Omaha SC,Devin Boyce,5,25,52,9,75.32,7.12
23,North Carolina FC,Jay Tee Kamara,4,54,17,5,70.43,7.12
24,Chattanooga Red Wolves SC,Jonathan Ricketts,4,19,39,4,73.86,7.12
25,New England Revolution II,Damian Rivera,6,67,40,1,78.57,7.12
26,Chattanooga Red Wolves SC,Jason Ramos,1,13,53,2,82.51,7.11
27,Greenville Triumph SC,Marios Lomis,15,9,23,1,68.15,7.1
28,North Carolina FC,Nazmi Albadawi,2,10,23,0,86.96,7.1
29,North Carolina FC,Damian Las,0,0,2,0,74.58,7.1
30,New England Revolution II,Christian Mafla,0,6,11,0,79.63,7.1
31,North Texas SC,Blaine Ferri,0,21,36,4,84.18,7.09
32,Toronto FC II,Andreas Vaikla,0,0,1,0,64.84,7.08
33,Toronto FC II,Caleb Patterson-Sewell,0,0,0,0,70.27,7.08
34,Greenville Triumph SC,Aaron Walker,5,13,42,3,83.35,7.08
35,New England Revolution II,Ryan Spaulding,3,33,56,1,81.69,7.07
36,New England Revolution II,Joseph Rice,0,0,1,0,73.12,7.06
37,Union Omaha SC,Daltyn Knutson,1,0,26,1,84.47,7.05
38,Toronto FC II,Antony Curic,0,4,18,0,88.5,7.05
39,Richmond Kickers,Akira Fitzgerald,0,0,0,0,73.9,7.05
40,Greenville Triumph SC,Paul Christensen,0,0,1,0,59.04,7.04
41,FC Tucson,Deri Corfe,8,41,31,2,84.85,7.04
42,Union Omaha SC,Greg Hurst,14,20,13,2,71.14,7.03
43,Fort Lauderdale,Aimé Mabika,0,15,24,0,90.35,7.01
44,Chattanooga Red Wolves SC,Mark Hernández,5,17,17,3,76.0,7.01
45,North Texas SC,Edwin Munjoma,3,10,21,1,80.45,7.0
46,North Texas SC,Colin Shutler,0,0,0,0,82.61,7.0
47,New England Revolution II,Jake Rozhansky,0,18,32,6,92.83,7.0
48,FC Tucson,Luca Mastrantonio,2,11,23,0,80.6,6.99
49,Toronto FC II,Luca Petrasso,1,29,36,3,81.59,6.99
50,FC Tucson,Tobenna Uzo,2,1,6,0,64.86,6.98
51,Chattanooga Red Wolves SC,José Carrera-Garcia,2,16,37,2,86.94,6.98
52,South Georgia Tormenta FC,Azaad Liadi,9,19,16,5,71.34,6.98
53,Greenville Triumph SC,Abdi Mohamed,0,4,30,3,75.47,6.97
54,Toronto FC II,Jahkeele Marshall-Rutty,1,10,6,1,92.82,6.97
55,North Carolina FC,Jake McGuire,0,0,1,0,76.51,6.97
56,North Texas SC,Dominick Hernandez,3,29,23,4,71.4,6.97
57,Forward Madison FC,Christian Diaz,0,14,26,1,80.08,6.96
58,Forward Madison FC,Connor Tobin,2,2,26,1,84.83,6.95
59,New England Revolution II,Collin Verfurth,0,0,15,0,89.14,6.95
60,Toronto FC II,Kevin Politz,1,2,27,0,92.21,6.95
61,Forward Madison FC,Jake Keegan,6,5,7,4,73.82,6.94
62,Greenville Triumph SC,Brandon Fricke,1,1,34,1,81.28,6.94
63,Greenville Triumph SC,Maxwell Hemmings,0,11,35,1,80.18,6.94
64,New England Revolution II,Noel Buck,5,20,32,1,83.82,6.94
65,Toronto FC II,Jon-Talen Maples,1,2,21,0,82.9,6.94
66,New England Revolution II,Edward Kizza,5,7,3,0,78.8,6.93
67,Richmond Kickers,Zacarias Moran Correa,1,7,67,3,80.04,6.93
68,North Texas SC,Freddy Vargas,1,6,3,1,79.25,6.93
69,Fort Lauderdale,Shaan Hundal,11,9,12,3,72.21,6.92
70,New England Revolution II,Sean O'Hearn,0,10,49,1,79.9,6.92
71,Greenville Triumph SC,Lachlan McLean,3,2,8,2,57.39,6.91
72,North Texas SC,Gibran Rayo,7,24,23,2,82.55,6.91
73,Richmond Kickers,Nil Vinyals,2,33,35,4,74.93,6.91
74,FC Tucson,Dan Bedoya,3,19,41,3,83.09,6.91
75,Forward Madison FC,Jesús Pérez,0,10,17,1,84.74,6.91
76,Forward Madison FC,Josiah Trimmingham,4,4,2,0,71.43,6.91
77,Fort Lauderdale,Mitchell Curry,8,11,3,5,75.77,6.91
78,North Carolina FC,Robert Kristo,4,11,4,0,70.24,6.91
79,Greenville Triumph SC,Evan Lee,0,3,26,0,83.97,6.9
80,North Texas SC,Kazu,6,13,27,3,76.53,6.9
81,FC Tucson,João Delgado,2,18,36,3,78.11,6.9
82,Richmond Kickers,Ian Antley,0,0,0,0,91.67,6.9
83,North Texas SC,Michael Maldonado,0,5,41,0,84.25,6.9
84,Fort Lauderdale,Modesto Mendez,2,6,40,0,86.9,6.89
85,South Georgia Tormenta FC,Lars Eckenrode,1,1,9,0,89.2,6.89
86,Forward Madison FC,Cyrus Rad,0,3,33,1,76.53,6.89
87,Union Omaha SC,Rashid Nuhu,0,1,1,1,53.35,6.89
88,Richmond Kickers,Jalen Crisler,0,2,15,0,78.36,6.88
89,North Texas SC,Thibaut Jacquel,4,5,5,0,75.64,6.88
90,Union Omaha SC,Tobias Otieno,2,34,44,3,79.52,6.88
91,Union Omaha SC,Ferrety Sousa,1,39,40,1,81.05,6.88
92,Union Omaha SC,Abdul Illal Osumanu,0,1,11,0,87.37,6.88
93,North Texas SC,Derek Waldeck,0,7,19,4,79.16,6.88
94,Greenville Triumph SC,Jesús Ibarra,2,35,27,1,75.54,6.87
95,Toronto FC II,Noble Okello,1,2,6,0,82.84,6.87
96,Greenville Triumph SC,Andrew Booth,2,5,53,3,76.48,6.87
97,Toronto FC II,Garrett McLaughlin,8,7,9,1,76.03,6.86
98,Greenville Triumph SC,Don Smart,2,11,19,2,80.63,6.86
99,Richmond Kickers,Juan Pablo Monticelli,2,5,32,1,71.36,6.86
100,Toronto FC II,Paul Rothrock,4,2,2,2,74.17,6.86
101,FC Tucson,Maximiliano Schenfeld,1,30,57,0,82.21,6.86
102,Union Omaha SC,Conor Doyle,0,4,34,6,73.28,6.86
103,Fort Lauderdale,Venton Evans,4,29,23,2,80.94,6.85
104,Toronto FC II,Luke Singh,2,0,7,0,84.34,6.85
105,New England Revolution II,Maciel,0,4,2,1,83.98,6.85
106,South Georgia Tormenta FC,Adrian Billhardt,0,11,2,1,68.75,6.85
107,Fort Lauderdale,Drake Callender,0,0,1,0,77.29,6.85
108,Forward Madison FC,Gustavo Fernandes,0,1,21,1,86.57,6.85
