Player,Team,Season,Position,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,PA,xPA,Passes,Pass %,xPass %,Score,Per100,Distance,Vertical,Touch %,Games,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Antony Curic,TOR,2021,CB,964,6,1,0,0.65,-0.61,-0.65,1,0,0.17,-0.17,0.82,0.0,0.88,600,88.3%,87.0%,7.92,1.32,23.08,7.83,8.0%,15,0.18,0.04,-0.33,0.29,-0.13,-0.05,0.01
Audi Jepson,MAD,2021,CM,1379,20,1,0,1.58,-1.53,-1.58,20,3,2.07,0.93,3.65,0.0,1.18,657,81.0%,79.3%,11.04,1.68,18.17,2.17,5.7%,22,-0.26,-0.06,-0.07,0.09,0.23,-0.06,-0.13
Austin Aviza,RIC,2021,GK,100,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,27,88.9%,89.3%,-0.12,-0.46,28.51,16.79,5.8%,1,,,,,,,
Austin Panchot,OMA,2021,ST,381,5,3,0,0.23,-0.06,-0.23,3,0,0.45,-0.45,0.68,0.0,0.13,102,66.7%,71.0%,-4.46,-4.37,16.71,-0.64,1.9%,15,-0.05,-0.04,0.08,-0.05,-0.22,-0.04,-0.32
Azaad Liadi,TRM,2021,ST,2087,47,20,9,7.78,-0.27,1.22,18,5,1.64,3.36,9.42,4.86,4.95,333,70.0%,72.8%,-9.48,-2.85,16.08,-1.17,4.5%,27,-0.28,0.96,0.51,-0.06,0.32,0.11,1.56
Aziel Jackson,NC,2021,ST,877,17,8,1,1.55,0.88,-0.55,12,3,0.94,2.06,2.5,0.76,1.0,215,85.1%,81.8%,7.22,3.36,17.45,-1.03,4.8%,12,0.61,-0.06,-0.02,-0.09,-0.74,-0.12,-0.42
Benjamin Redzic,NTX,2021,W,162,2,1,0,0.35,-0.21,-0.35,3,0,0.23,-0.23,0.59,0.0,0.11,58,79.3%,75.9%,2.0,3.45,17.07,2.57,6.7%,2,0.2,0.01,-0.03,-0.02,-0.08,-0.04,0.03
Bernard Kamungo,NTX,2021,W,1113,24,10,5,2.57,1.23,2.43,14,0,1.43,-1.43,4.0,1.96,1.29,224,73.7%,74.5%,-1.97,-0.88,18.23,0.05,3.6%,21,0.75,0.03,0.28,-0.08,0.27,0.08,1.33
Blaine Ferri,NTX,2021,CM,1460,12,4,0,0.59,-0.2,-0.59,23,4,1.72,2.28,2.31,0.0,0.38,822,80.8%,79.0%,14.9,1.81,20.99,4.02,9.1%,19,0.34,-0.01,0.45,0.14,-0.25,-0.1,0.55
Blake Frischknecht,CHA,2021,ST,1064,33,12,1,4.16,-1.01,-3.16,9,1,0.66,0.34,4.82,0.73,3.18,198,66.2%,67.6%,-2.84,-1.43,15.7,-0.33,3.2%,19,-0.14,-0.13,-0.11,-0.06,0.97,0.2,0.72
Blake Malone,OMA,2021,CB,769,1,0,0,0.05,-0.05,-0.05,0,0,0.0,0.0,0.05,0.0,0.05,264,83.0%,83.0%,-0.13,-0.05,25.19,8.85,4.4%,13,-0.1,0.04,0.16,-0.24,-0.25,-0.11,-0.49
Brad Knighton,NER,2021,GK,199,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,57,77.2%,75.3%,1.06,1.86,39.07,30.2,5.4%,2,,,,,,,
Brandon Fricke,GVL,2021,CB,2531,16,2,1,2.48,-1.49,-1.48,4,1,0.78,0.23,3.25,0.55,1.79,1179,81.7%,79.2%,29.6,2.51,27.53,11.09,9.6%,27,-0.3,-0.32,-0.17,0.07,0.13,0.09,-0.49
Brandon Sanchez,TUC,2021,CM,79,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,28,92.9%,88.6%,1.18,4.22,19.15,-0.64,2.7%,2,-0.01,-0.0,0.02,-0.06,-0.02,-0.02,-0.09
Braxton Taghvai-Najib,FTL,2021,CM,1009,10,2,1,0.98,-0.22,0.02,6,1,0.78,0.22,1.76,0.0,0.32,364,76.1%,81.5%,-19.71,-5.42,19.52,1.91,3.7%,21,-0.22,0.01,0.06,-0.1,-0.12,-0.14,-0.51
Brian Rosales,FTL,2021,FB,1212,2,0,0,0.04,-0.04,-0.04,11,2,0.52,1.48,0.56,0.0,0.01,715,83.8%,83.8%,-0.46,-0.06,21.86,2.85,8.8%,16,0.14,0.01,0.75,-0.1,-0.25,-0.21,0.33
Brittain Gottlieb,TRM,2021,CB,60,1,0,0,0.17,-0.17,-0.17,0,0,0.0,0.0,0.17,0.0,0.16,28,53.6%,68.8%,-4.26,-15.2,16.26,2.13,1.2%,5,0.01,0.0,0.0,-0.05,0.06,-0.0,0.03
Britton Fischer,NC,2021,CB,1258,4,0,0,0.38,-0.38,-0.38,3,0,0.19,-0.19,0.58,0.0,0.21,723,86.5%,87.5%,-7.48,-1.03,23.28,7.53,8.9%,16,-0.28,0.11,0.16,-0.18,-0.24,-0.08,-0.52
Caden Tolentino,NC,2021,FB,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0%,0.0%,0.0,0.0,0.0,0.0,0.0%,1,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Caiser Gomes,NTX,2021,CB,1837,8,0,0,0.47,-0.47,-0.47,4,1,0.17,0.83,0.64,0.0,0.28,966,88.7%,86.9%,17.83,1.85,25.46,9.84,9.3%,20,-0.12,0.25,-0.42,0.2,0.17,-0.12,-0.05
Caleb Patterson-Sewell,TOR,2021,GK,1085,1,0,0,0.1,-0.1,-0.1,0,0,0.0,0.0,0.1,0.0,0.1,298,74.8%,76.4%,-4.72,-1.58,34.34,25.69,5.1%,11,,,,,,,
Cameron Vickers,RIC,2021,W,176,0,0,0,0.0,0.0,0.0,3,0,0.24,-0.24,0.24,0.0,0.0,28,46.4%,48.5%,-0.58,-2.07,20.98,2.36,1.0%,8,-0.02,-0.01,0.0,0.01,-0.11,-0.07,-0.19
Carlos Avilez,TRM,2021,GK,168,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,64,82.8%,81.8%,0.63,0.99,33.73,25.12,5.2%,2,,,,,,,
