"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Hikaru Fujiwara","NER","2021","CM","705","12","4","0","1.98","-1.15","-1.98","16","3","2.48","0.52","4.46","0.00","0.45"
"","Matthew Bolduc","RIC","2021","W","2070","19","5","1","0.84","0.22","0.16","29","2","3.61","-1.61","4.45","0.52","0.53"
"","John Scearce","OMA","2021","CM","2350","55","14","1","2.88","-1.14","-1.88","17","3","1.48","1.52","4.36","0.47","1.81"
"","Don Smart","GVL","2021","W","1289","21","4","2","2.27","-0.42","-0.27","30","2","2.09","-0.09","4.36","1.68","1.76"
"","Alex Morrell","GVL","2021","W","1391","29","9","0","1.93","-1.28","-1.93","21","1","2.42","-1.42","4.34","0.00","1.37"
"","Venton Evans","FTL","2021","W","1569","35","15","4","2.97","0.37","1.03","8","2","1.35","0.65","4.33","1.19","1.40"
"","Lachlan McLean","GVL","2021","ST","924","24","12","3","3.59","-0.28","-0.59","5","2","0.72","1.28","4.31","1.87","2.54"
"","Luca Petrasso","TOR","2021","FB","2611","20","10","1","1.19","-0.41","-0.19","41","3","3.06","-0.06","4.25","0.09","0.86"
"","Connor Presley","NER","2021","FB","1400","22","5","1","1.89","-0.33","-0.89","13","2","2.26","-0.26","4.14","0.84","1.34"
"","Jesús Ibarra","GVL","2021","W","1100","14","4","1","1.22","0.01","-0.22","24","1","2.87","-1.87","4.09","0.69","0.92"
"","Thibaut Jacquel","NTX","2021","ST","816","24","12","4","2.98","0.81","1.02","10","0","1.03","-1.03","4.01","4.54","2.34"
"","Bernard Kamungo","NTX","2021","W","1113","24","10","5","2.57","1.23","2.43","14","0","1.43","-1.43","4.00","1.96","1.29"
"","Daniel Bedoya","TUC","2021","CM","1538","20","5","3","1.72","0.70","1.28","33","3","2.23","0.77","3.94","2.00","1.35"
"","Thorn Simpson","NC","2021","ST","958","24","8","1","3.62","-2.00","-2.62","2","0","0.32","-0.32","3.94","0.65","2.42"
"","Derek Waldeck","NTX","2021","FB","2245","12","1","0","1.20","-1.05","-1.20","26","4","2.68","1.32","3.89","0.00","0.95"
"","Aaron Walker","GVL","2021","CM","2356","32","8","5","2.55","1.56","2.45","17","3","1.21","1.79","3.76","1.77","1.68"
"","Abdi Mohamed","GVL","2021","FB","2129","11","3","0","0.57","-0.22","-0.57","25","3","3.19","-0.19","3.76","0.00","0.35"
"","Jorge Almaguer","NTX","2021","CM","1993","23","5","3","1.97","0.17","1.03","16","0","1.75","-1.75","3.73","0.93","0.93"
"","Antonio Carlini","TOR","2021","CM","2027","26","10","3","1.71","0.41","1.29","16","1","2.01","-1.01","3.72","0.74","1.07"
"","Themi Antonoglou","TOR","2021","W","912","12","6","3","1.74","0.35","1.26","19","1","1.93","-0.93","3.67","2.86","1.85"
"","Jake Rozhansky","NER","2021","DM","2088","7","2","0","0.31","-0.11","-0.31","37","6","3.36","2.64","3.67","0.00","0.21"
"","Rafael Mentzingen","CHA","2021","ST","784","19","8","1","2.93","-0.83","-1.93","8","0","0.73","-0.73","3.66","0.21","2.08"
"","Audi Jepson","MAD","2021","CM","1379","20","1","0","1.58","-1.53","-1.58","20","3","2.07","0.93","3.65","0.00","1.18"
"","Zacarías Morán Correa","RIC","2021","DM","2438","12","2","1","0.30","0.22","0.70","38","3","3.32","-0.32","3.62","1.54","0.25"
"","Conor Doyle","OMA","2021","W","2554","22","3","0","1.45","-0.95","-1.45","23","6","2.05","3.95","3.51","0.00","1.05"
"","Rey Ortiz","CHA","2021","W","847","24","6","1","0.94","0.84","0.06","17","2","2.49","-0.49","3.43","0.92","0.69"
"","Luis Arriaga","NC","2021","CM","1702","16","8","1","2.13","0.07","-1.13","14","1","1.28","-0.28","3.41","0.74","1.56"
"","Angel Espana","CHA","2021","W","1218","18","6","3","1.55","0.07","1.45","16","0","1.70","-1.70","3.25","2.71","1.58"
"","Brandon Fricke","GVL","2021","CB","2531","16","2","1","2.48","-1.49","-1.48","4","1","0.78","0.23","3.25","0.55","1.79"
"","Juan Pablo Monticelli","RIC","2021","FB","1493","13","3","2","1.77","0.14","0.23","6","1","1.41","-0.41","3.18","0.61","0.86"
"","Tobenna Uzo","TUC","2021","ST","817","27","8","2","2.18","-0.46","-0.18","10","0","0.92","-0.92","3.11","0.43","1.34"
"","Josiah Trimmingham","MAD","2021","ST","564","22","8","4","2.79","-0.05","1.21","8","0","0.30","-0.30","3.09","1.95","2.01"
"","Jason Ramos","CHA","2021","CB","2694","24","8","1","2.10","-0.12","-1.10","15","1","0.99","0.01","3.09","0.14","1.31"
"","Justin Sukow","MAD","2021","CM","1458","17","6","2","1.45","-0.19","0.55","18","3","1.60","1.40","3.06","1.01","1.06"
"","Harvey Neville","FTL","2021","CM","1994","9","2","0","0.87","-0.17","-0.87","18","1","2.13","-1.13","3.00","0.00","0.88"
"","Stefan Mueller","TRM","2021","FB","1464","10","7","4","1.63","0.76","2.37","15","1","1.37","-0.37","2.99","2.54","1.32"
"","Rodney Michael","TRM","2021","W","990","20","9","1","2.10","0.15","-1.10","11","2","0.84","1.16","2.94","0.90","1.43"
"","Paul Rothrock","TOR","2021","ST","708","15","9","4","2.58","1.32","1.42","5","2","0.31","1.69","2.89","1.19","1.06"
"","Manuel Ferriol","TUC","2021","CM","921","17","5","2","1.26","0.35","0.74","15","1","1.62","-0.62","2.88","0.86","0.48"
"","Joshua Penn","FTL","2021","W","890","13","8","2","2.18","0.06","-0.18","6","1","0.65","0.35","2.83","1.20","1.96"
"","Robert Frame","NC","2021","W","1635","11","6","3","1.55","1.06","1.45","15","1","1.21","-0.21","2.76","1.62","1.07"
"","Jayden Nelson","TOR","2021","W","743","16","5","3","2.46","0.39","0.54","8","0","0.29","-0.29","2.76","1.83","1.82"
"","Emir Alihodzic","OMA","2021","CM","1365","16","3","2","1.20","-0.14","0.80","13","2","1.52","0.48","2.72","0.70","0.82"
"","Nazmi Albadawi","NC","2021","CM","977","12","6","2","1.27","0.02","0.73","20","0","1.42","-1.42","2.69","1.03","0.86"
"","Alex Bruce","NTX","2021","ST","594","11","4","1","2.32","-0.51","-1.32","2","0","0.27","-0.27","2.59","1.86","2.23"
"","Aziel Jackson","NC","2021","ST","877","17","8","1","1.55","0.88","-0.55","12","3","0.94","2.06","2.50","0.76","1.00"
"","Jackson Dietrich","CHA","2021","W","768","19","4","2","1.72","0.24","0.28","6","1","0.77","0.23","2.49","1.98","1.17"
"","Steffen Yeates","TOR","2021","CM","1365","18","4","0","1.51","-0.80","-1.51","14","1","0.93","0.07","2.44","0.00","1.21"
"","Nicolas Firmino","OMA","2021","CM","864","15","4","2","1.85","-0.45","0.15","5","0","0.59","-0.59","2.43","3.05","1.95"
"","Daltyn Knutson","OMA","2021","CB","1953","10","4","1","2.04","-0.54","-1.04","5","1","0.38","0.62","2.43","1.31","2.15"
"","Ferrety Sousa","OMA","2021","FB","2399","14","2","1","0.40","-0.30","0.60","23","1","2.02","-1.02","2.42","0.54","0.31"
"","Noah Allen","FTL","2021","FB","2660","10","2","0","0.34","-0.06","-0.34","28","2","2.06","-0.06","2.40","0.00","0.24"
"","Blaine Ferri","NTX","2021","CM","1460","12","4","0","0.59","-0.20","-0.59","23","4","1.72","2.28","2.31","0.00","0.38"
"","Tobias Otieno","OMA","2021","CM","1634","18","3","1","0.70","-0.25","0.30","12","3","1.56","1.44","2.26","0.21","0.36"
"","Connor Tobin","MAD","2021","CB","2757","12","3","2","2.15","-0.52","-0.15","3","0","0.11","-0.11","2.26","1.53","1.10"
"","Christian Young","FTL","2021","FB","1318","1","1","1","0.08","0.47","0.92","13","2","2.16","-0.16","2.25","0.21","0.02"
"","Gabriel de Morais","NTX","2021","ST","421","10","3","1","1.19","-0.20","-0.19","3","0","1.02","-1.02","2.21","0.03","0.41"
"","Maxwell Hemmings","GVL","2021","CM","2183","16","2","0","0.56","-0.13","-0.56","18","1","1.62","-0.62","2.18","0.00","0.38"
"","Edwin Munjoma","NTX","2021","FB","788","15","6","3","1.33","0.52","1.67","7","1","0.83","0.17","2.15","1.18","0.68"
"","Drew Hardin","FTL","2021","CM","639","9","1","1","1.51","-0.67","-0.51","5","1","0.64","0.36","2.15","0.88","1.17"
"","Noah Franke","TUC","2021","FB","2424","9","2","0","0.21","-0.15","-0.21","19","3","1.91","1.09","2.12","0.00","0.15"
"","Mehdi Essoussi","TOR","2021","CM","1248","17","4","0","1.61","0.14","-1.61","5","0","0.49","-0.49","2.10","0.00","1.50"
"","Michel","NER","2021","CM","1714","17","2","0","0.45","-0.36","-0.45","28","0","1.59","-1.59","2.04","0.00","0.30"
"","Nelson Blanco","NC","2021","FB","2482","12","1","0","0.49","-0.46","-0.49","15","3","1.55","1.45","2.04","0.00","0.23"
"","Edison Azcona","FTL","2021","W","882","17","6","3","1.31","0.51","1.69","11","1","0.72","0.28","2.03","1.67","0.72"
"","Chris Cole","RIC","2021","FB","1414","10","2","1","0.49","0.21","0.51","9","2","1.52","0.48","2.01","0.71","0.36"
"","Joshua Phelps","TRM","2021","CB","1630","11","2","1","1.84","-0.61","-0.84","5","0","0.16","-0.16","2.00","0.47","1.42"
"","Christian Díaz","MAD","2021","FB","1386","6","1","0","0.18","0.28","-0.18","17","1","1.78","-0.78","1.96","0.00","0.13"
"","Joao Delgado","TUC","2021","CM","1383","15","5","2","1.38","0.38","0.62","14","3","0.58","2.42","1.96","0.80","0.65"
"","Ethan Hardin","FTL","2021","CB","1874","8","2","1","0.71","0.10","0.29","3","1","1.21","-0.21","1.91","1.37","0.51"
"","Collin Smith","NTX","2021","FB","1763","15","3","0","0.91","-0.85","-0.91","10","0","0.99","-0.99","1.90","0.00","0.57"
"","Curtis Thorn","TRM","2021","CB","2589","9","3","1","0.59","-0.01","0.41","12","2","1.25","0.75","1.84","0.27","0.40"
"","Carlos Gómez","MAD","2021","FB","683","13","2","0","1.17","-0.50","-1.17","5","0","0.64","-0.64","1.82","0.00","1.04"
"","Tyler Allen","MAD","2021","FB","1582","18","3","0","0.91","-0.42","-0.91","15","0","0.88","-0.88","1.79","0.00","0.96"
"","Kobe Perez","TRM","2021","W","1072","11","3","2","1.21","-0.03","0.79","11","1","0.58","0.42","1.79","0.73","0.58"
"","Braxton Taghvai-Najib","FTL","2021","CM","1009","10","2","1","0.98","-0.22","0.02","6","1","0.78","0.22","1.76","0.00","0.32"
"","Jon-Talen Maples","TOR","2021","CB","1592","4","1","1","0.97","-0.37","0.03","5","0","0.78","-0.78","1.75","0.45","0.24"
"","Roberto Poplawski","FTL","2021","DM","1732","15","2","0","0.65","-0.41","-0.65","11","1","1.08","-0.08","1.73","0.00","0.46"
"","Hope Avayevu","NTX","2021","W","471","8","2","0","0.78","-0.40","-0.78","8","2","0.95","1.05","1.73","0.00","0.40"
"","Kevin Rodríguez","TUC","2021","W","582","8","6","3","1.46","0.81","1.54","5","1","0.27","0.73","1.73","1.16","0.68"
"","Ale Santana","NTX","2021","CM","281","6","1","1","0.95","-0.41","0.05","8","0","0.73","-0.73","1.68","0.94","0.73"
"","Ricardo Rivera","OMA","2021","ST","247","6","4","1","1.43","-0.27","-0.43","3","0","0.20","-0.20","1.62","0.00","1.33"
"","Tyler Polak","GVL","2021","FB","2661","8","0","0","0.39","-0.39","-0.39","14","1","1.22","-0.22","1.61","0.00","0.29"
"","Kristofer Strickler","TRM","2021","ST","344","8","2","0","1.11","0.32","-1.11","7","1","0.50","0.50","1.60","0.00","1.05"
"","Franco Pérez","TUC","2021","ST","276","7","3","0","1.48","-0.37","-1.48","1","0","0.08","-0.08","1.55","0.00","0.93"
"","Noah Fuson","MAD","2021","W","911","21","6","2","1.10","-0.11","0.90","7","0","0.44","-0.44","1.54","1.46","0.65"
"","Freddy Vargas","NTX","2021","ST","328","7","3","1","0.63","-0.33","0.37","2","1","0.88","0.12","1.51","0.36","0.38"
"","Elma N'For","OMA","2021","ST","485","10","2","0","1.16","-0.88","-1.16","6","0","0.35","-0.35","1.51","0.00","1.09"
"","Joshua Donnelly","GVL","2021","ST","747","14","4","2","1.25","0.39","0.75","5","1","0.26","0.74","1.51","0.85","0.71"
"","Jonathan Esparza","CHA","2021","FB","1792","6","2","0","0.34","-0.01","-0.34","14","0","1.13","-1.13","1.48","0.00","0.17"
"","Navarro","CHA","2021","CB","2102","9","1","0","0.82","-0.38","-0.82","5","1","0.61","0.39","1.43","0.00","0.47"
"","Dakota Barnathan","TUC","2021","CB","1702","4","0","0","1.28","-1.28","-1.28","3","0","0.15","-0.15","1.43","0.00","0.41"
"","Abel Caputo","FTL","2021","DM","1234","7","1","1","0.77","-0.01","0.23","8","0","0.66","-0.66","1.43","0.39","0.42"
"","Ivan Magalhaes","RIC","2021","CB","2577","15","6","1","1.01","1.59","-0.01","3","1","0.42","0.58","1.42","0.10","0.67"
"","Ethan Vanacore-Decker","OMA","2021","W","574","15","5","0","1.09","-0.46","-1.09","4","0","0.33","-0.33","1.42","0.00","0.75"
"","Ricardo Gomez","TRM","2021","CM","1575","5","0","0","0.17","-0.17","-0.17","13","0","1.23","-1.23","1.40","0.00","0.11"
"","Max Flick","NC","2021","CB","2426","12","4","2","1.22","0.41","0.78","3","0","0.18","-0.18","1.40","1.90","1.27"
"","Rohan Goulbourne","TOR","2021","W","1362","13","7","0","0.70","-0.36","-0.70","10","1","0.70","0.30","1.40","0.00","0.54"
"","Michael Maldonado","NTX","2021","FB","1677","7","2","0","0.38","-0.19","-0.38","15","0","1.02","-1.02","1.39","0.00","0.35"
"","Nicholas O'Callaghan","TRM","2021","FB","2001","5","2","1","0.64","0.49","0.36","10","0","0.75","-0.75","1.39","0.39","0.35"
"","Stanley Alves","RIC","2021","ST","561","12","5","0","0.72","0.29","-0.72","5","1","0.66","0.34","1.38","0.00","0.54"
"","Meny Silva","NER","2021","W","449","13","5","0","1.01","-0.13","-1.01","5","1","0.35","0.65","1.36","0.00","0.62"
"","Jiro Barriga Toyama","MAD","2021","FB","1610","7","2","0","0.18","-0.01","-0.18","20","1","1.18","-0.18","1.36","0.00","0.16"
"","Jesús Pérez","MAD","2021","CM","665","9","4","0","0.43","0.46","-0.43","11","1","0.92","0.08","1.35","0.00","0.39"
"","Erickson Gallardo","TOR","2021","W","91","3","1","0","0.62","-0.59","-0.62","2","1","0.70","0.30","1.32","0.00","0.04"
"","Luca Mastrantonio","TUC","2021","CB","1222","6","3","2","0.84","0.89","1.16","1","0","0.47","-0.47","1.31","1.06","0.63"
"","Maximiliano Schenfeld","TUC","2021","FB","2178","16","3","1","0.50","0.12","0.50","14","0","0.81","-0.81","1.31","0.62","0.34"
"","Colby Quinones","NER","2021","FB","1098","6","2","0","0.15","0.16","-0.15","10","1","1.13","-0.13","1.28","0.00","0.09"
"","Ronaldo Pineda","CHA","2021","FB","1272","18","4","0","0.67","-0.06","-0.67","8","0","0.59","-0.59","1.26","0.00","0.51"
"","Evan Lee","GVL","2021","CB","1959","11","0","0","0.66","-0.66","-0.66","7","0","0.59","-0.59","1.25","0.00","0.64"
"","Jalen Crisler","RIC","2021","CB","2564","16","5","0","1.13","-0.49","-1.13","3","0","0.11","-0.11","1.24","0.00","1.04"
"","Hernán González","RIC","2021","ST","431","8","2","0","1.01","-0.55","-1.01","1","0","0.12","-0.12","1.13","0.00","0.56"
"","Aimé Mabika","FTL","2021","CB","1388","5","2","0","0.82","-0.47","-0.82","1","0","0.29","-0.29","1.10","0.00","0.23"
"","Lars Eckenrode","TRM","2021","CB","1345","9","5","1","1.02","0.97","-0.02","1","0","0.03","-0.03","1.06","0.56","0.75"
"","Abuchi Obinwa","TRM","2021","CM","1654","9","0","0","0.43","-0.43","-0.43","8","1","0.61","0.39","1.05","0.00","0.23"
"","Sean O'Hearn","NER","2021","CB","1997","8","1","0","0.15","0.14","-0.15","12","1","0.87","0.13","1.02","0.00","0.09"
"","Jacob Goodall","GVL","2021","FB","610","5","1","0","0.25","0.16","-0.25","7","0","0.77","-0.77","1.02","0.00","0.05"
"","Vincenzo Candela","TRM","2021","CM","912","13","5","0","0.56","-0.20","-0.56","5","1","0.44","0.56","1.00","0.00","0.47"
"","Victor Falck","RIC","2021","CM","1689","13","4","0","0.71","-0.28","-0.71","8","1","0.27","0.73","0.98","0.00","0.64"
"","Collin Verfurth","NER","2021","CB","1761","7","1","0","0.72","-0.50","-0.72","3","0","0.24","-0.24","0.96","0.00","0.56"
"","Raheem Sommersall","TRM","2021","CM","1254","9","4","0","0.75","0.32","-0.75","4","0","0.21","-0.21","0.96","0.00","0.57"
"","Nelson Martinez","NC","2021","FB","2321","13","5","1","0.64","0.07","0.36","7","0","0.30","-0.30","0.94","0.66","0.44"
"","Mohamed Kone","TUC","2021","DM","1101","5","2","0","0.37","0.07","-0.37","6","1","0.54","0.46","0.90","0.00","0.32"
"","Modesto Mendez","FTL","2021","CB","1730","11","3","2","0.90","0.29","1.10","0","0","0.00","0.00","0.90","2.93","1.04"
"","Noble Okello","TOR","2021","CM","269","3","2","1","0.82","0.05","0.18","1","0","0.08","-0.08","0.90","0.46","0.39"
"","Pierre Cayet","NER","2021","CB","1808","7","4","2","0.63","0.60","1.37","5","0","0.27","-0.27","0.90","1.47","0.35"
"","Hugo Mbongue","TOR","2021","ST","148","4","0","0","0.74","-0.74","-0.74","1","0","0.14","-0.14","0.88","0.00","1.01"
"","Ethan Bryant","RIC","2021","CM","952","12","3","0","0.45","-0.22","-0.45","8","0","0.41","-0.41","0.86","0.00","0.41"
"","Kevin Politz","TOR","2021","CB","1788","13","4","1","0.86","-0.12","0.14","0","0","0.00","0.00","0.86","0.51","0.68"
"","Christian Enriquez","MAD","2021","CM","1129","12","3","1","0.45","0.26","0.55","7","0","0.40","-0.40","0.85","0.66","0.33"
