"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Ralph Priso-Mbongue","TOR","2021","CM","296","1","0","0","0.03","-0.03","-0.03","4","0","0.31","-0.31","0.34","0.00","0.02"
"","Sebastian Capozucchi","CHA","2021","CB","1159","1","0","0","0.02","-0.02","-0.02","3","0","0.33","-0.33","0.34","0.00","0.01"
"","Roman Torres","NTX","2021","ST","5","1","1","0","0.33","-0.13","-0.33","0","0","0.00","0.00","0.33","0.00","0.00"
"","Rio Ramirez","NTX","2021","CB","905","3","0","0","0.22","-0.22","-0.22","2","0","0.10","-0.10","0.32","0.00","0.23"
"","Lucão","NTX","2021","CB","578","6","2","0","0.29","0.03","-0.29","0","0","0.00","0.00","0.29","0.00","0.18"
"","Frank Nodarse","FTL","2021","CB","313","5","0","0","0.27","-0.27","-0.27","0","0","0.00","0.00","0.27","0.00","0.24"
"","Christian Molina","OMA","2021","W","232","1","0","0","0.18","-0.18","-0.18","2","0","0.07","-0.07","0.25","0.00","0.16"
"","Cole McLagan","GVL","2021","FB","309","3","0","0","0.22","-0.22","-0.22","1","0","0.03","-0.03","0.25","0.00","0.17"
"","Cameron Vickers","RIC","2021","W","176","0","0","0","0.00","0.00","0.00","3","0","0.24","-0.24","0.24","0.00","0.00"
"","Edwin Cerrillo","NTX","2021","DM","98","0","0","0","0.00","0.00","0.00","3","2","0.22","1.78","0.22","0.00","0.00"
"","Joshua Saavedra","FTL","2021","DM","416","2","1","0","0.14","-0.05","-0.14","3","0","0.06","-0.06","0.20","0.00","0.12"
"","Rashid Nuhu","OMA","2021","GK","2360","0","0","0","0.00","0.00","0.00","2","1","0.20","0.80","0.20","0.00","0.00"
"","Nicolas Ovalle","TOR","2021","CM","42","0","0","0","0.00","0.00","0.00","1","0","0.19","-0.19","0.19","0.00","0.00"
"","Kwasi Poku","TOR","2021","ST","10","1","1","0","0.19","0.01","-0.19","0","0","0.00","0.00","0.19","0.00","0.00"
"","Tyler Freitas","NER","2021","FB","477","1","0","0","0.01","-0.01","-0.01","2","0","0.18","-0.18","0.19","0.00","0.01"
"","Ualefi","CHA","2021","DM","874","2","2","0","0.08","0.19","-0.08","3","0","0.10","-0.10","0.19","0.00","0.02"
"","Clayton Adams","TRM","2021","W","209","2","2","0","0.13","0.15","-0.13","2","0","0.05","-0.05","0.18","0.00","0.08"
"","Sami Guediri","FTL","2021","CM","76","2","0","0","0.06","-0.06","-0.06","2","0","0.12","-0.12","0.17","0.00","0.04"
"","Brittain Gottlieb","TRM","2021","CB","60","1","0","0","0.17","-0.17","-0.17","0","0","0.00","0.00","0.17","0.00","0.16"
"","Matthew Corcoran","NTX","2021","FB","73","1","1","0","0.17","-0.11","-0.17","0","0","0.00","0.00","0.17","0.00","0.00"
"","Francisco Raggio","FTL","2021","CM","50","3","0","0","0.17","-0.17","-0.17","0","0","0.00","0.00","0.17","0.00","0.14"
"","John Murphy","OMA","2021","CM","149","3","2","0","0.16","0.02","-0.16","0","0","0.00","0.00","0.16","0.00","0.12"
"","Mark Salas","NTX","2021","CB","888","0","0","0","0.00","0.00","0.00","2","0","0.16","-0.16","0.16","0.00","0.00"
"","Jordan Perruzza","TOR","2021","ST","113","2","0","0","0.11","-0.11","-0.11","1","0","0.05","-0.05","0.15","0.00","0.07"
"","Noah Pilato","GVL","2021","CM","324","5","1","0","0.12","-0.09","-0.12","1","0","0.03","-0.03","0.15","0.00","0.07"
"","Cristian Zaragoza","CHA","2021","W","16","1","0","0","0.14","-0.14","-0.14","0","0","0.00","0.00","0.14","0.00","0.00"
"","Marvin Mariche","NC","2021","W","21","1","0","0","0.13","-0.13","-0.13","0","0","0.00","0.00","0.13","0.00","0.00"
"","Jason Bucknor","FTL","2021","FB","103","1","0","0","0.09","-0.09","-0.09","1","0","0.03","-0.03","0.12","0.00","0.08"
"","Parker O'Ferral","NC","2021","FB","530","0","0","0","0.00","0.00","0.00","2","0","0.12","-0.12","0.12","0.00","0.00"
"","Luis Ángel Rodríguez","TRM","2021","CB","436","0","0","0","0.00","0.00","0.00","1","0","0.12","-0.12","0.12","0.00","0.00"
"","Malyk Hamilton","NC","2021","FB","416","0","0","0","0.00","0.00","0.00","3","0","0.12","-0.12","0.12","0.00","0.00"
